VarId		5	5	9	9	10	10	794	794	790	790	796	796	768	768	10794	10794	10790	10790	10796	10796	10768	10768	826	826	792	792	797	797	797	798	798	798	789	789	789	799	799	799	12	12	12	412	412	14	14	14	414	414	15	1	2	3	6	7	8	11	13	22	23	24	10000000
VarName	Date	Burn_flow	Burn_flow	Flow_of_TA40_to_Feed_tank	Flow_of_TA40_to_Feed_tank	Flow_of_Slurry_to_Feed_tank	Flow_of_Slurry_to_Feed_tank	CONS_Purity_TA40_of_TAC	CONS_Purity_TA40_of_TAC	CONS_UV_Absorbance	CONS_UV_Absorbance	CONS_Tank_level_delta	CONS_Tank_level_delta	CONS_Flow of recycled	CONS_Flow of recycled	Weighted_CONS_Purity_TA40_of_TAC	Weighted_CONS_Purity_TA40_of_TAC	Weighted_CONS_UV_Absorbance	Weighted_CONS_UV_Absorbance	Weighted_CONS_Tank_level_delta	Weighted_CONS_Tank_level_delta	Weighted_CONS_Flow of recycled	Weighted_CONS_Flow of recycled	Prod_Constraint	Prod_Constraint	Result CF	Result CF	Flow of recycled ML to Feed tank controlled	Flow of recycled ML to Feed tank controlled	Flow of recycled ML to Feed tank controlled	Raw material cost_dollar_5min	Raw material cost_dollar_5min	Raw material cost_dollar_5min	Raw_material_cost_per_lbs_consumed	Raw_material_cost_per_lbs_consumed	Raw_material_cost_per_lbs_consumed	Tank_level_delta	Tank_level_delta	Tank_level_delta	Purity_TA40_of_TAC_ML	Purity_TA40_of_TAC_ML	Purity_TA40_of_TAC_ML	Purity_TA40_of_TAC_OPTIBAT	Purity_TA40_of_TAC_OPTIBAT	UV_Absorbance_of_final_TAC_product	UV_Absorbance_of_final_TAC_product	UV_Absorbance_of_final_TAC_product	UV_Absorbance_OPTIBAT	UV_Absorbance_OPTIBAT	Nickel_concentration_of_final_TAC_product	Density_of_M_L_Recycled_to_Feed_tank	Flow_out_of_Feed_tank	Flow_of_M_L_to_Non_Recovery	Flow_of_TAUP_M_L_to_Feed_tank	Flow_of_M_L_Recovered_to_Feed_tank	Flow_of_M_L_Recycled_to_Feed_tank	Flow_of_Dust_to_Feed_tank	Purity_TA40_from_derivatives	Cost_of_Liquid Slurry	Cost_of_TA40_from_NPD	Cost_of_Burning_TAC_Mother_Liquor	Support
Max		3000	3000	5000	5000	3000	3000	1	1	1	1	1	1	1	1	_	_	_	_	_	_	_	_	_	_	_	_	3000	3000	3000	10000	10000	10000	10000	10000	10000	14500	14500	14500	100	100	100	100	100	0.40000000000000002	0.40000000000000002	0.40000000000000002	0.40000000000000002	0.40000000000000002	15	2	5000	3000	3000	2000	3000	1500	100	100	100	100	1
Min		0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	-3000	-3000	-3000	0	0	0	0	0	0	-5000	-5000	-5000	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0
MaxOp		3000	3000	5000	5000	3000	3000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	3000	3000	3000	_	_	_	_	_	_	5000	5000	5000	100	100	100	100	100	0.20000000000000001	0.20000000000000001	0.20000000000000001	0.20000000000000001	0.20000000000000001	4.9000000000000004	2	5000	_	_	_	_	1500	100	_	_	_	_
MinOp		0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	_	_	_	_	_	_	0	0	0	75	75	75	75	75	0	0	0	0	0	0	1	0	_	_	_	_	0	75	_	_	_	_
OperativeIncrease		500	500	500	500	500	500	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	200	200	200	_	_	_	_	_	_	0.001	0.001	0.001	2	2	2	2	2	0.001	0.001	0.001	0.001	0.001	0.001	_	_	_	150	150	_	100	0.001	_	_	_	_
PrecisionValue		0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Unit		pound per hour	pound per hour	pound per hour	pound per hour	pound per hour	pound per hour	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	_	_	_	_	_	_	_	_	percentage	percentage	percentage	percentage	pound per hour	pound per hour	pound per hour	dollar	dollar	dollar	dollar	dollar	dollar	pound per hour	pound per hour	pound per hour	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	specific gravity	pound per hour	pound per hour	pound per hour	pound per hour	pound per hour	pound per hour	percentage	pound per hour	pound per hour	pound per hour	_
SourceType		Sample	Result(1,20,0)	Sample	Result(1,20,0)	Sample	Result(1,20,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,9)	Result(1,40,9)	Result(1,30,9)	Result(1,40,9)	Result(1,30,9)	Result(1,40,9)	Result(1,30,9)	Result(1,40,9)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Result(1,20,0)	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,9)	Result(1,40,9)	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,9)	Result(1,40,9)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	RS(1,30,0)
469094	2025-03-25 21:32:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469095	2025-03-25 21:37:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469096	2025-03-25 21:42:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469097	2025-03-25 21:47:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469098	2025-03-25 21:52:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469099	2025-03-25 21:57:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469100	2025-03-25 22:02:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469101	2025-03-25 22:07:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469102	2025-03-25 22:12:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469103	2025-03-25 22:17:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469104	2025-03-25 22:22:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469105	2025-03-25 22:27:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
469106	2025-03-25 22:32:52	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
