VarId		2	4	51	52	53	56	57	58	59	3	5	6	7	8	9	10	12	76	124	126	128	132	501	502	503	504	505	506	601	611	950	955	960	970	20100	20100	20100	20200	20200	51	52	601	57	58	59	51	52	611	601	57	58	59	611	620101	620151	620201	620251	651101	651151	651201	651251	651199	651299	651301	651351	651399	620299	620199	651601	651651	651699	651701	651751	651799	651851	651801	651899	651901	651951	651999	20000000	20000002	20000003	10000005	877	878	871	878	877	871	861	861	4010	4010	7116	7117	7126	7127	4022	4021	7136	7137	7166	7167	7176	7177	7186	7187	7196	7197	810	832	831	7000	600000	8001	8002	8000	10000	7116	7117	7126	7127	4022	4021	7136	7137	7166	7167	7186	7187	7176	7177	7196	7197	810	832	831	7000	600000	8001	8002	8000	10000	182	20400	20400	20500	20500	7396	7397	7396	7397	7296	7297	7296	7297	4113	4114	4115	4116	4113	4114	4115	4116	10001	10001	7001	7001	652199	652151	652101	60	60	60	652099	652051	652001	180	180	180	52	52	878	878	3905	3905	3650	3650	174	174	174	77	77	77	620301	620351	620401	620451	620499	620399	181	176	178	891	892	893	894	895	896	910	885	3930	3930	3919	3919	3929	3929	20300	20300	3552	3553	3551	3552	3553	3551	3550	3550	755	755	7426	7427	7426	7427	172	173	652399	652351	652301	74	74	755
VarName	Date	Total_FeedRate_PV	SepartorValve1_PV	 Fineness	 Blaine	Elevator_Amps	Main_Motor_Kw	 Separator_Motor_Amps	 Mill_Fan_Amps	 Dust_Collecter_DP	SepartorValve1_SP	SepartorValve2_SP	SepartorValve2_PV	SepartorValve3_SP	SepartorValve3_PV	SepartorValve4_SP	SepartorValve4_PV	Mill_Fan_Damper_PV	Average Separator Valves	Clinker_feedrate_silo1_PV	Clinker_feedrate_silo2_PV	Clinker_feedrate_silo3_PV	Limestone_feedrate_PV	OPTIBAT_ON	Flag_Ready	Communication_ECS	FM1_COMMS_HeartBeat	FM1_ClinkerFactor_Mode	FM1_Yield_Mode	 Mill motor kW_smoothed	 Elevator_amps_smoothed	Feed_reduction_flag_Elevator_Amps_high	Timer_for_ElevatorAmps_High_reduction	Feed_reduction_Elevator_High_Trigger	FinenessAvailability	 OPT_Total_FeedRate_SP	 OPT_Total_FeedRate_SP	 OPT_Total_FeedRate_SP	 OPT_SeparatorValve_SP	 OPT_SeparatorValve_SP	 Fineness	 Blaine	 Mill motor kW_smoothed	 Separator_Motor_Amps	 Mill_Fan_Amps	 Dust_Collecter_DP	 Fineness	 Blaine	 Elevator_amps_smoothed	 Mill motor kW_smoothed	 Separator_Motor_Amps	 Mill_Fan_Amps	 Dust_Collecter_DP	 Elevator_amps_smoothed	Read_Limit_FeedRate_SP_Max	Read_Limit_FeedRate_SP_Min	Read_Limit_SepartorValve_SP_Max	Read_Limit_SepartorValve_SP_Min	Read_Limit_Fineness_Max	Read_Limit_Fineness_Min	Read_Limit_Blaine_Max	Read_Limit_Blaine_Min	SELECTOR_Fineness	SELECTOR_Blaine	Read_Limit_Elevator_Amps_Max	Read_Limit_Elevator_Amps_Min	SELECTOR_Elevator_Amps	SELECTOR_SepartorValve1_SP	SELECTOR_FeedRate_SP	Read_Limit_Main_Motor_Kw_Max	Read_Limit_Main_Motor_Kw_Min	SELECTOR_Main_Motor_Kw	Read_Limit_Separator_Amps_Max	Read_Limit_Separator_Amps_Min	SELECTOR_Separator_Amps	Read_Limit_MillFan_Amps_Min	Read_Limit_MillFan_Amps_Max	SELECTOR_Mill_Fan_Amps	Read_Limit_DustCollect_DP_Max	Read_Limit_DustCollect_DP_Min	SELECTOR_Dust_Collecter_DP	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	OPTIBAT_WATCHDOG	Blaine_delta_OPT_cal	Blaine_delta_RawMeal_cal	Blaine_delta_cal	Blaine_delta_RawMeal_cal	Blaine_delta_OPT_cal	Blaine_delta_cal	Fineness_delta_cal	Fineness_delta_cal	 DELTA_ELEVATOR Amps	 DELTA_ELEVATOR Amps	Fineness_W_CONS_Max	Fineness_W_CONS_Min	Blaine_W_CONS_Max	Blaine_W_CONS_Min	 W_CONS_HIGH_DELTA_ELEVATOR Amps	 W_CONS_LOW_DELTA_ELEVATOR Amps	Elevator_Amps_W_CONS_Max	Elevator_Amps_W_CONS_Min	Main_Motor_Kw_W_CONS_Max	Main_Motor_Kw_W_CONS_Min	Separator_Amps_W_CONS_Max	Separator_Amps_W_CONS_Min	Mill_Fan_Amps_W_CONS_Max	Mill_Fan_Amps_W_CONS_Min	Dust_Collect_DP_W_CONS_Max	Dust_Collect_DP_W_CONS_Min	 Safe area	W_CONS_Separator_Delta_SafeArea	W_CONS_Feed_Delta_SafeArea	Total_Constraint	OPT_Limits_Constraint	Throughput	Total_Energy_abstract	Total_KPI	CF	Fineness_W_CONS_Max	Fineness_W_CONS_Min	Blaine_W_CONS_Max	Blaine_W_CONS_Min	 W_CONS_HIGH_DELTA_ELEVATOR Amps	 W_CONS_LOW_DELTA_ELEVATOR Amps	Elevator_Amps_W_CONS_Max	Elevator_Amps_W_CONS_Min	Main_Motor_Kw_W_CONS_Max	Main_Motor_Kw_W_CONS_Min	Mill_Fan_Amps_W_CONS_Max	Mill_Fan_Amps_W_CONS_Min	Separator_Amps_W_CONS_Max	Separator_Amps_W_CONS_Min	Dust_Collect_DP_W_CONS_Max	Dust_Collect_DP_W_CONS_Min	 Safe area	W_CONS_Separator_Delta_SafeArea	W_CONS_Feed_Delta_SafeArea	Total_Constraint	OPT_Limits_Constraint	Throughput	Total_Energy_abstract	Total_KPI	CF	Grit_Separator	OPT_Limestone_Ratio_SP	OPT_Limestone_Ratio_SP	OPT_Fineness_Target_SP	OPT_Fineness_Target_SP	Strenght_1d_W_CONS_Max	Strenght_1d_W_CONS_Min	Strenght_1d_W_CONS_Max	Strenght_1d_W_CONS_Min	SO3_W_CONS_Max	SO3_W_CONS_Min	SO3_W_CONS_Max	SO3_W_CONS_Min	W_CONS_OPT_Limestone_INC	W_CONS_OPT_Limestone_DEC	W_CONS_OPT_Fineness_INC	W_CONS_OPT_Fineness_DEC	W_CONS_OPT_Limestone_INC	W_CONS_OPT_Limestone_DEC	W_CONS_OPT_Fineness_INC	W_CONS_OPT_Fineness_DEC	CF_Strenght	CF_Strenght	Total_Constraint_StrenghtStrategy	Total_Constraint_StrenghtStrategy	SELECTOR_Strenght_1d	Read_Limit_Strenght_1d_Min	Read_Limit_Strenght_1d_Max	Strenght 1 Day_composite	Strenght 1 Day_composite	Strenght 1 Day_composite	SELECTOR_SO3	Read_Limit_SO3_Min	Read_Limit_SO3_Max	SO3_HourlySample	SO3_HourlySample	SO3_HourlySample	 Blaine	 Blaine	Blaine_delta_RawMeal_cal	Blaine_delta_RawMeal_cal	Delta_Blaine_by_Fineness_for_Strenght_Calc	Delta_Blaine_by_Fineness_for_Strenght_Calc	Delta_SO3_Calc	Delta_SO3_Calc	LOI_HourlySample	LOI_HourlySample	LOI_HourlySample	Sum of Clinker Silos	Sum of Clinker Silos	Sum of Clinker Silos	Read_Limit_Gypsum_SP_Max	Read_Limit_Gypsum_SP_Min	Read_Limit_Limestone_SP_Max	Read_Limit_Limestone_SP_Min	SELECTOR_Limestone_SP	SELECTOR_Gypsum_SP	C3S_HourlySample	Free Lime_HourlySample	Sodium_HourlySample	OPT_Gypsum_at_MAX_flag	OPT_Gypsum_at_MIN_flag	OPT_Limestone_at_MAX_flag	OPT_Limestone_at_MIN_flag	OPT_Fineness_at_MAX_flag	OPT_Fineness_at_MIN_flag	HighSpeedCondition_yes_1_no_0	Separator at min or max condition	W_CONS_OPT_INC_Accumulated	W_CONS_OPT_INC_Accumulated	CONS_OPT_Gypsum_INC_Accumulated	CONS_OPT_Gypsum_INC_Accumulated	CONS_OPT_Limestone_INC_Accumulated	CONS_OPT_Limestone_INC_Accumulated	OPT_Gypsum_Ratio_SP	OPT_Gypsum_Ratio_SP	Delta_Strenght_Calc_28d_1L	Delta_Strenght_Calc_28d_I_II	Delta_Strenght_Calc_1d_I_II	Delta_Strenght_Calc_28d_1L	Delta_Strenght_Calc_28d_I_II	Delta_Strenght_Calc_1d_I_II	Delta_Strenght_Calc_1d_1L	Delta_Strenght_Calc_1d_1L	Strenght28d_Selected_RTO	Strenght28d_Selected_RTO	Strenght_28d_W_CONS_Max	Strenght_28d_W_CONS_Min	Strenght_28d_W_CONS_Max	Strenght_28d_W_CONS_Min	Selector_type_II	Selector_type_IL	SELECTOR_Strenght_28d	Read_Limit_Strenght_28d_Min	Read_Limit_Strenght_28d_Max	Strenght_28d_1L_composite	Strenght_28d_1L_composite	Strenght28d_Selected_RTO
Max		200	100	100	10000	100	5000	100	100	10	100	100	100	100	100	100	100	100	100	_	_	_	_	1	1	1	1	1	1	5000	100	1	100	1	1	200	200	200	100	100	100	10000	5000	100	100	10	100	10000	100	5000	100	100	10	100	200	200	100	100	100	100	10000	10000	1	1	100	100	1	1	1	5000	5000	1	100	100	1	100	100	1	10	10	1	1	1	1	1	10000	10000	10000	10000	10000	10000	100	100	100	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	_	_	_	_	200	6000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	_	_	_	_	200	6000	_	_	100	100	100	100	100	_	_	_	_	_	_	_	_	1	1	1	1	1	1	1	1	_	_	_	_	1	5000	5000	5000	5000	5000	1	10	10	10	10	10	10000	10000	10000	10000	10000	10000	10	10	10	10	10	300	300	300	40	40	_	_	1	1	100	15	5	1	1	1	1	1	1	1	1	_	_	1	1	1	1	40	40	12000	12000	5000	12000	12000	5000	5000	5000	12000	12000	_	_	_	_	1	1	1	12000	12000	12000	12000	12000
Min		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10000	-10000	-10000	-10000	-10000	-10000	-100	-100	-100	-100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	0	0	_	_	0	0	0	0	0	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10000	-10000	-10000	-10000	-10	-10	0	0	0	0	0	0	0	0	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	0	0	0	0	0	0	-12000	-12000	-5000	-12000	-12000	-5000	-5000	-5000	0	0	_	_	_	_	0	0	0	0	0	0	0	0
MaxOp		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	200	200	200	100	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	3.5	3.5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	100	100	100	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	3.7999999999999998	3.7999999999999998	3.7999999999999998	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	40	40	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	-5	-5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		10	_	_	_	10	_	_	_	_	_	_	_	_	_	_	_	10	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	10	10	10	10	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	10	10	10	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	5	5	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	10	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1000	1000	_
PrecisionValue		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.01	0.01	0.001	0.001	0.001	0.001	0.01	0.01	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.10000000000000001	0.001	0.001	0.001	0.01	0.001	0.001	0.001	0.01	0.001	0.001	0.001	0.001	0.01	0.01	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.10000000000000001	0.001	0.001	0.001	0.01	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.01	0.01	0.0001	0.0001	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.001	0.001	0.001	0.0001	0.0001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Unit		ton/hora	tantoporciento	_	_	_	_	_	_	_	tantoporciento	tantoporciento	tantoporciento	tantoporciento	tantoporciento	tantoporciento	tantoporciento	tantoporciento	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,10,0)	Result(1,25,0)	Result(1,25,0)	Result(1,25,0)	Result(1,10,0)	Result(1,10,0)	Result(1,20,0)	Result(1,25,0)	Result(1,10,0)	Result(1,20,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,30,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,50,0)	Result(1,50,0)	Result(1,50,0)	Result(1,10,25)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Sample	Result(1,10,0)	Result(1,15,0)	Result(1,10,0)	Result(1,15,0)	Result(1,35,62)	Result(1,35,62)	Result(1,45,62)	Result(1,45,62)	Result(1,45,62)	Result(1,45,62)	Result(1,35,62)	Result(1,35,62)	Result(1,35,62)	Result(1,35,62)	Result(1,35,62)	Result(1,35,62)	Result(1,45,62)	Result(1,45,62)	Result(1,45,62)	Result(1,45,62)	Result(1,45,62)	Result(1,35,62)	Result(1,45,62)	Result(1,35,62)	Sample	Sample	Sample	Sample	Result(1,35,62)	Result(1,45,62)	Sample	Sample	Sample	Sample	Result(1,45,62)	Result(1,35,62)	Result(1,45,62)	Result(1,35,62)	Result(1,35,62)	Result(1,10,0)	Result(1,45,62)	Result(1,35,62)	Result(1,45,62)	Result(1,35,62)	Result(1,45,62)	Result(1,35,62)	Sample	Result(1,10,0)	Result(1,35,62)	Result(1,45,62)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,11,0)	Result(1,10,0)	Result(1,45,62)	Result(1,35,62)	Result(1,45,62)	Result(1,35,62)	Result(1,45,62)	Result(1,35,62)	Result(1,15,0)	Result(1,10,0)	Result(1,45,62)	Result(1,45,62)	Result(1,45,62)	Result(1,35,62)	Result(1,35,62)	Result(1,35,62)	Result(1,45,62)	Result(1,35,62)	Result(1,45,0)	Result(1,35,0)	Result(1,45,62)	Result(1,45,62)	Result(1,35,62)	Result(1,35,62)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)
