VarId		2	4	6	8	10	12	14	16	18	20100	20100	20100	20200	20200	20300	20300	20400	20400	20500	20500	20600	20600	20700	20700	20800	20800	20900	20900	501	502	10000005	20000000	20000002	20000003	865	921	922	923	933	931	932	930	950	955	58	58	58	851	861	851	861	51	51	51	53	53	53	54	904	904	904	55	905	905	905	56	906	906	906	57	907	907	907	59	909	909	909	52	52	52	9000	9000	9021	9022	9021	9022	7147	7147	7146	7146	4021	4021	4022	4022	7157	7157	7156	7156	7137	7137	7136	7136	7187	7187	7186	7186	7167	7167	7166	7166	7177	7177	7176	7176	7127	7127	7126	7126	7117	7117	7116	7116	7197	7197	7196	7196	4121	4121	4122	4122	7000	7000	6020	6020	8100	8100	8100	8200	8200	8000	8000	600000	600000	10000	10000	8300	8300
VarName	Date	Feed_Rate_PV	Fresh_Air_Damper_PV	Grinding_Pressure_PV	Mill_Inlet_Hot_Gases_Damper_PV	Mill_Outlet_Hot_Gases_Damper_PV	Mill_Fan_Damper_PV	Recirculation_Damper_PV	Separator_Speed_PV	Water_Flow_PV	OPT_Feed_Rate_SP	OPT_Feed_Rate_SP	OPT_Feed_Rate_SP	OPT_Fresh_Air_Damper_SP	OPT_Fresh_Air_Damper_SP	OPT_Grinding_Pressure_SP	OPT_Grinding_Pressure_SP	OPT_Mill_Inlet_Hot_Gases_Damper_SP	OPT_Mill_Inlet_Hot_Gases_Damper_SP	OPT_Outlet_Hot_Gases_Damper_SP	OPT_Outlet_Hot_Gases_Damper_SP	OPT_Mill_Fan_Damper_SP	OPT_Mill_Fan_Damper_SP	OPT_Recirculation_Damper_SP	OPT_Recirculation_Damper_SP	OPT_SepSpeed_SP	OPT_SepSpeed_SP	OPT_Water_Flow_SP	OPT_Water_Flow_SP	OPTIBAT_ON	OPTIBAT_READY	OPTIBAT_WATCHDOG	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	Separator at min or max condition	HIGH_Speed_Threshold_Rejects	HIGH_Speed_Threshold_MillDP	HIGH_Speed_Threshold_MillMotor	Condition_HIGH_Speed_MillMotor	Condition_HIGH_Speed_Rejects	Condition_HIGH_Speed_MillDP	HighSpeedCondition_yes_1_no_0	Feed_reduction_flag_Motor_kW_high	Feed_reduction_flag_Vibrations_high	Fineness_170	Fineness_170	Fineness_170	Fineness_delta_Cal_SepSpeed_opt	Fineness_delta_Cal_SepSpeed_Feed_Opt	Fineness_delta_Cal_SepSpeed_opt	Fineness_delta_Cal_SepSpeed_Feed_Opt	Aveg Layer Thickness	Aveg Layer Thickness	Aveg Layer Thickness	Vibrations	Vibrations	Vibrations	Rejects flow	Rejects flow_Smoothed	Rejects flow_Smoothed	Rejects flow_Smoothed	Main Drive Power	Main Drive Power_Smoothed	Main Drive Power_Smoothed	Main Drive Power_Smoothed	Mill Fan Power	Mill Fan Power_Smoothed	Mill Fan Power_Smoothed	Mill Fan Power_Smoothed	Separator Motor Power	Separator Motor Power_Smoothed	Separator Motor Power_Smoothed	Separator Motor Power_Smoothed	Mill DP	Mill DP_Smoothed	Mill DP_Smoothed	Mill DP_Smoothed	Mill Outlet Temperature	Mill Outlet Temperature	Mill Outlet Temperature	OPT_Safe Area_flag	OPT_Safe Area_flag	W_CNS_Feed_INC_SafeArea	W_CNS_SeparatorSpeed_INC_SafeArea	W_CNS_Feed_INC_SafeArea	W_CNS_SeparatorSpeed_INC_SafeArea	W_CNS_Min_Rejects	W_CNS_Min_Rejects	W_CNS_Max_Rejects	W_CNS_Max_Rejects	 W_CNS_Low_Delta_Rejects	 W_CNS_Low_Delta_Rejects	 W_CNS_High_Delta_Rejects	 W_CNS_High_Delta_Rejects	W_CNS_Min_Main_Motor_Power	W_CNS_Min_Main_Motor_Power	W_CNS_Max_Main_Motor_Power	W_CNS_Max_Main_Motor_Power	W_CNS_Min_Vibrations	W_CNS_Min_Vibrations	W_CNS_Max_Vibrations	W_CNS_Max_Vibrations	W_CNS_Min_Fineness_170	W_CNS_Min_Fineness_170	W_CNS_Max_Fineness_170	W_CNS_Max_Fineness_170	W_CNS_Min_Mill_Fan_Power	W_CNS_Min_Mill_Fan_Power	W_CNS_Max_Mill_Fan_Power	W_CNS_Max_Mill_Fan_Power	W_CNS_Min_Separator_Motor_Power	W_CNS_Min_Separator_Motor_Power	W_CNS_Max_Separator_Motor_Power	W_CNS_Max_Separator_Motor_Power	W_CNS_Min_Mill_Outlet_Temp	W_CNS_Min_Mill_Outlet_Temp	W_CNS_Max_Mill_Outlet_Temp	W_CNS_Max_Mill_Outlet_Temp	W_CNS_Min_Aveg_Layer_Thickness	W_CNS_Min_Aveg_Layer_Thickness	W_CNS_Max_Aveg_Layer_Thickness	W_CNS_Max_Aveg_Layer_Thickness	W_CNS_Min_Mill_DP	W_CNS_Min_Mill_DP	W_CNS_Max_Mill_DP	W_CNS_Max_Mill_DP	 W_CNS_Low_Delta_Mill_DP	 W_CNS_Low_Delta_Mill_DP	 W_CNS_High_Delta_Mill_DP	 W_CNS_High_Delta_Mill_DP	Total_Constraint	Total_Constraint	Mill DP_for_GP_Maximization	Mill DP_for_GP_Maximization	KPI_Specific_Power_Consumption	KPI_Specific_Power_Consumption	KPI_Specific_Power_Consumption	KPI_Throughput	KPI_Throughput	Total_KPI	Total_KPI	OPT_Limits_Constraint	OPT_Limits_Constraint	CF	CF	KPI_Water	KPI_Water
Max		400	130	240	130	130	130	130	100	30	400	400	400	130	130	240	240	130	130	130	130	130	130	130	130	100	100	100	100	1	1	1	1	1	1	1	350	15	3000	1	1	1	1	1	1	100	100	100	100	100	100	100	500	500	500	10	10	10	350	350	350	350	3000	3000	3000	3000	2000	2000	2000	2000	100	100	100	100	15	15	15	15	200	200	200	1	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	15	15	50	50	50	400	400	_	_	_	_	_	_	30	30
Min		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	-2	-2	-2	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	-2	-2	0	0	0	0	0	_	_	_	_	_	_	0	0
MaxOp		_	_	_	_	_	_	_	_	_	400	400	400	100	100	240	240	100	100	100	100	100	100	100	100	100	100	100	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	_	_	_	_	_	3	15	15	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	3	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.0001	0.0001	0.0001	0.0001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001
Unit		ton per hour	percentage	bar	percentage	percentage	percentage	percentage	percentage	cubic metre per hour	ton per hour	ton per hour	ton per hour	percentage	percentage	bar	bar	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	percentage	percentage	percentage	_	_	_	_	mm	mm	mm	millimeter per second	millimeter per second	millimeter per second	ton per hour	ton per hour	ton per hour	ton per hour	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	_	_	_	_	degree Celsius	degree Celsius	degree Celsius	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,20,0)	Result(1,25,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Sample	Sample	Result(1,10,0)	Result(1,50,0)	Result(1,50,0)	Result(1,50,0)	Result(1,10,0)	Result(1,11,0)	Result(1,11,0)	Result(1,11,0)	Result(1,11,0)	Result(1,11,0)	Result(1,11,0)	Result(1,11,0)	Result(1,25,0)	Result(1,25,0)	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,40,0)	Result(1,30,0)
