VarId		2	4	6	8	51	52	53	54	55	56	57	58	101	102	103	104	105	106	107	108	109	111	112	113	115	116	126	133	146	147	155	158	160	161	162	163	501	4000	4000	8100	8300	20100	20100	20200	20200	20300	20300	20400	20400	6011	6012	53	54	6050	6016	57	58	650000	600000	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	8100	8300	10000	6011	6012	53	54	6050	6016	57	58	600000	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	8100	8300	10000	620101	620151	620199	620201	620251	620299	620301	620351	620399	620401	620451	620499	650000	651101	651151	651201	651251	651301	651351	651401	651451	651501	651551	651601	651651	651704	651754	651804	651854	10000005	20000000	20000002	20000003	20000005	20000010
VarName	Date	Fresh_Feed_PV	Separator_Speed_PV	Mill_Exit_Pressure_PV	Separator_Fan_Motor_Load_PV	Mill_Motor_Power	Elevator_Motor_Power	Separator_Motor_Power_Percent	Rejects_Rate	Total_Feed_Rate	Screw_Pump_Motor_Power	Cement_Blaine	Cement_Residue	Clinker_PV	Clinker_PV_Percent	Clinker_SP_Percent	Gypsum_PV	Gypsum_PV_Percent	Gypsum_SP_Percent	Slag_PV	Slag_PV_Percent	Slag_SP_Percent	Mill_Inlet_Pressure	Mill_Exit_Air_Temperature	Mill_Exit_Cement_Temperature	SEC_Read	Separator_Inlet_Pressure	Separator_Fan_Motor_PID_CV	Cement_Type	Blaine_Target	Residue_Target	Mill_Exit_Pressure_PID_status	Separator_Fan_Motor PID_status	Mill_Exit_Pressure_PID_HL_Sat	Mill_Exit_Pressure_PID_LL_Sat	Separator_Fan_Power_PID_HL_Sat	Separator_Fan_Power_PID_LL_Sat	OPTIBAT_ON	Total_PID_Sat_Constraints	Total_PID_Sat_Constraints	Total_Energy_Consumption	Specific_Energy	CM7_Fresh_Feed_SP	CM7_Fresh_Feed_SP	CM7_Separator_Speed_SP	CM7_Separator_Speed_SP	CM7_Mill_Exit_Pressure_SP	CM7_Mill_Exit_Pressure_SP	CM7_Separator_Fan_Motor_Current_SP	CM7_Separator_Fan_Motor_Current_SP	Mill_Motor_Power_S	Elevator_Motor_Power_S	Separator_Motor_Power_Percent	Rejects_Rate	Total_Feed_Rate_OB	Screw_Pump_Power_S	Cement_Blaine	Cement_Residue	Total_Constraints	OPT_Limits_Constraint	Mill_Motor_Power_W_CONS_Max	Mill_Motor_Power_W_CONS_Min	Elevator_Motor_Power_W_CONS_Max	Elevator_Motor_Power_W_CONS_Min	Separator_Motor_Power_Percent_W_CONS_Max	Separator_Motor_Power_Percent_W_CONS_Min	Rejects_Rate_W_CONS_Max	Rejects_Rate_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Screw_pump_Motor_W_CONS_Max	Screw_pump_Motor_W_CONS_Min	Cement_Blaine_W_CONS_Max	Cement_Blaine_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min	Total_Energy_Consumption	Specific_Energy	CF	Mill_Motor_Power_S	Elevator_Motor_Power_S	Separator_Motor_Power_Percent	Rejects_Rate	Total_Feed_Rate_OB	Screw_Pump_Power_S	Cement_Blaine	Cement_Residue	OPT_Limits_Constraint	Mill_Motor_Power_W_CONS_Max	Mill_Motor_Power_W_CONS_Min	Elevator_Motor_Power_W_CONS_Max	Elevator_Motor_Power_W_CONS_Min	Separator_Motor_Power_Percent_W_CONS_Max	Separator_Motor_Power_Percent_W_CONS_Min	Rejects_Rate_W_CONS_Max	Rejects_Rate_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Screw_pump_Motor_W_CONS_Max	Screw_pump_Motor_W_CONS_Min	Cement_Blaine_W_CONS_Max	Cement_Blaine_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min	Total_Energy_Consumption	Specific_Energy	CF	Fresh_Feed_SP_Max	Fresh_Feed_SP_Min	Fresh_Feed_SP_SELECTOR	Separator_Speed_SP_Max	Separator_Speed_SP_Min	Separator_Speed_SP_SELECTOR	Mill_Exit_Pressure_SP_Max	Mill_Exit_Pressure_SP_Min	Mill_Exit_Pressure_SP_SELECTOR	Separator_Fan_Motor_Power_SP_Max	Separator_Fan_Motor_Power_SP_Min	Separator_Fan_Motor_Power_SP_SELECTOR	Total_Constraints	Mill_Motor_Power_Max	Mill_Motor_Power_Min	Elevator_Motor_Power_Max	Elevator_Motor_Power_Min	Separator_Motor_Power_Percent_Max	Separator_Motor_Power_Percent_Min	Rejects_Rate_Max	Rejects_Rate_Min	Total_Feed_Rate_Max	Total_Feed_Rate_Min	Screw_pump_Motor_Power_Max	Screw_pump_Motor_Power_Min	Blaine_High_Margin	Blaine_Low_Margin	Residue_High_Margin	Residue_Low_Margin	Communication_Flag 	Support_Flag 	Macroestates_Flag 	Quality_Flag 	OPTIBAT_COMMUNICATION	OPTIBAT_READY
Max		100	100	20	250	2000	30	100	150	315	90	5000	25	_	100	_	_	100	_	_	100	_	_	_	_	_	_	_	_	5000	25	_	_	_	_	_	_	1	_	_	_	_	100	100	100	100	20	20	250	250	2000	30	100	150	315	90	5000	25	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	2000	30	100	150	315	90	5000	25	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	1	1	1	1
Min		0	0	0	0	0	0	0	0	0	0	0	0	_	0	_	_	0	_	_	0	_	_	_	_	_	_	_	_	0	0	_	_	_	_	_	_	0	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0
MaxOp		_	_	_	_	2000	30	100	150	315	90	5000	25	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	100	100	100	100	20	20	250	250	2000	30	100	150	315	90	5000	25	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	2000	30	100	150	315	90	5000	25	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001
Unit		ton per hour	_	_	_	_	_	percentage	ton per hour	ton per hour	kilowatt	blaine	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	blaine	percentage	_	_	_	_	_	_	_	_	_	kilowatt	kilowatt hour per ton	ton per hour	ton per hour	percentage	percentage	millibar	millibar	kilowatt	kilowatt	kilowatt	kilowatt	percentage	ton per hour	_	kilowatt	blaine	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	kilowatt	kilowatt hour per ton	_	kilowatt	kilowatt	percentage	ton per hour	_	kilowatt	blaine	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	kilowatt	kilowatt hour per ton	_	ton per hour	ton per hour	_	percentage	percentage	_	millibar	millibar	_	kilowatt	kilowatt	_	_	kilowatt	kilowatt	kilowatt	kilowatt	percentage	percentage	ton per hour	ton per hour	ton per hour	ton per hour	kilowatt	kilowatt	blaine	blaine	percentage	percentage	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,50,0)	Result(1,50,0)	Result(1,50,0)	Sample	Sample
