VarId		2	4	6	8	51	52	53	54	55	56	57	58	101	102	103	104	105	106	107	108	109	110	111	112	115	126	127	128	129	130	139	160	163	168	169	171	172	200	201	202	203	501	4000	4000	4104	4104	4105	4105	4204	4204	4205	4205	8100	8300	20100	20100	20200	20200	20300	20300	20400	20400	6011	52	53	54	6050	6016	57	58	650000	600000	9000	9021	9022	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	8100	8300	10000	6011	52	53	54	6050	6016	57	58	600000	9000	9021	9022	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	8100	8300	10000	620101	620151	620199	620201	620251	620299	620301	620351	620399	620401	620451	620499	650000	651101	651151	651201	651251	651301	651351	651401	651451	651501	651551	651601	651651	651704	651754	651804	651854	10000005	20000000	20000002	20000003	20000005	20000010
VarName	Date	Fresh_Feed_Rate_PV	Separator_Speed_PV	Mill_Exit_Pressure_PID_PV	Separator_Fan_Motor_Power_PV	Mill_Motor_Power	Elevator_Motor_Power_Percent	Separator_Motor_Power	Rejects_Rate	Total_Feed_Rate	Screw_Pump_Current	Cement_Blaine	Cement_Residue	Clinker_PV	Clinker_SP	Clinker_PV_Percent	Clinker_SP_Percent	Gypsum_PV	Gypsum_SP	Gypsum_PV_Percent	Gypsum_SP_Percent	Slag_PV	Slag_SP	Slag_PV_Percent	Slag_SP_Percent	Mill_Exit_Temperature	Separator_Inlet_Pressure	Separator_Fan_Inlet_Damper	Recirculation_Damper	ESP_Fan_Motor_Power_Percent	ESP_Exit_Damper	Cement_Type	Separator_Fan_Damper_PID_CV	Mill_Exit_Pressure_PID_CV	Mill_Exit_Pressure_PID_Status	Separator_Fan_Motor_Power_PID_Status	Blaine_Target	Residue_Target	Mill_Exit_Pressure_PID_HL_Sat	Mill_Exit_Pressure_PID_LL_Sat	Separator_Fan_Power_PID_HL_Sat	Separator_Fan_Power_PID_LL_Sat	OPTIBAT_ON	Total_PID_Sat_Constraints	Total_PID_Sat_Constraints	PID_Sat_Mill_Exit_Pressure_W_CONS_Max	PID_Sat_Mill_Exit_Pressure_W_CONS_Max	PID_Sat_Mill_Exit_Pressure_W_CONS_Min	PID_Sat_Mill_Exit_Pressure_W_CONS_Min	PID_Sat_Separator_Fan_Motor_Power_W_CON_Max	PID_Sat_Separator_Fan_Motor_Power_W_CON_Max	PID_Sat_Separator_Fan_Motor_Power_W_CON_Min	PID_Sat_Separator_Fan_Motor_Power_W_CON_Min	KPI_Total_Energy	Specific_Energy	CM8_Fresh_Feed_SP_Rec	CM8_Fresh_Feed_SP_Rec	CM8_Separator_Speed_SP_Rec	CM8_Separator_Speed_SP_Rec	CM8_Mill_Exit_Pressure_SP_Rec	CM8_Mill_Exit_Pressure_SP_Rec	CM8_Separator_Fan_Motor_Power_SP_Rec	CM8_Separator_Fan_Motor_Power_SP_Rec	Mill_Motor_Power_S	Elevator_Motor_Power_Percent	Separator_Motor_Power	Rejects_Rate	Total_Feed_Rate_OB	Screw_Pump_Current_S	Cement_Blaine	Cement_Residue	Total_Constraints	OPT_Limits_Constraint	OPT_Safe Area_flag	W_CONS_Fresh_Feed_INC_SafeArea	W_CONS_Separator_Speed_INC_SafeArea	Mill_Motor_Power_W_CONS_Max	Mill_Motor_Power_W_CONS_Min	Elevator_Motor_Power_Percent_W_CONS_Max	Elevator_Motor_Power_Percent_W_CONS_Min	Separator_Motor_Power_W_CONS_Max	Separator_Motor_Power_W_CONS_Min	Rejects_Rate_W_CONS_Max	Rejects_Rate_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Screw_Pump_Current_W_CONS_Max	Screw_Pump_Current_W_CONS_Min	Cement_Blaine_W_CONS_Max	Cement_Blaine_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min	KPI_Total_Energy	Specific_Energy	CF	Mill_Motor_Power_S	Elevator_Motor_Power_Percent	Separator_Motor_Power	Rejects_Rate	Total_Feed_Rate_OB	Screw_Pump_Current_S	Cement_Blaine	Cement_Residue	OPT_Limits_Constraint	OPT_Safe Area_flag	W_CONS_Fresh_Feed_INC_SafeArea	W_CONS_Separator_Speed_INC_SafeArea	Mill_Motor_Power_W_CONS_Max	Mill_Motor_Power_W_CONS_Min	Elevator_Motor_Power_Percent_W_CONS_Max	Elevator_Motor_Power_Percent_W_CONS_Min	Separator_Motor_Power_W_CONS_Max	Separator_Motor_Power_W_CONS_Min	Rejects_Rate_W_CONS_Max	Rejects_Rate_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Screw_Pump_Current_W_CONS_Max	Screw_Pump_Current_W_CONS_Min	Cement_Blaine_W_CONS_Max	Cement_Blaine_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min	KPI_Total_Energy	Specific_Energy	CF	Fresh_Feed_Max	Fresh_Feed_Min	Fresh_Feed_SELECTOR	Separator_Speed_Max	Separator_Speed_Min	Separator_Speed_SELECTOR	Mill_Exit_Pressure_Max	Mill_Exit_Pressure_Min	Mill_Exit_Pressure_SELECTOR	Separator_Fan_Motor_Power_Max	Separator_Fan_Motor_Power_Min	Separator_Fan_Motor_Power_SELECTOR	Total_Constraints	Mill_Motor_Power_Max	Mill_Motor_Power_Min	Elevator_Motor_Power_Percent_Max	Elevator_Motor_Power_Percent_Min	Separator_Motor_Power_Max	Separator_Motor_Power_Min	Rejects_Max	Rejects_Min	Total_Feed_Max	Total_Feed_Min	Screw_Pump_Amps_Max	Screw_Pump_Amps_Min	Blaine_High_Margin	Blaine_Low_Margin	Residue_High_Margin	Residue_Low_Margin	Communication_Flag 	Support_Flag 	Macroestates_Flag 	Quality_Flag 	OPTIBAT_COMMUNICATION	OPTIBAT_READY
Max		350	100	200	300	4000	100	100	200	500	400	5000	50	_	_	100	_	_	_	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	5000	50	_	_	_	_	1	_	_	1	1	1	1	1	1	1	1	_	_	350	350	100	100	200	200	300	300	4000	100	100	200	500	400	5000	50	_	_	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	4000	100	100	200	500	400	5000	50	_	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	1	1	1	1
Min		0	0	0	0	0	0	0	0	0	0	0	0	_	_	0	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	_	_	_	_	0	_	_	0	0	0	0	0	0	0	0	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0
MaxOp		_	_	_	_	4000	100	100	200	500	400	5000	50	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	350	350	100	100	200	200	300	300	4000	100	100	200	500	400	5000	50	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	4000	100	100	200	500	400	5000	50	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	0	0	0	0	0	0	0	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.01	0.10000000000000001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001
Unit		_	_	_	_	kilowatt	percentage	kilowatt	ton per hour	ton per hour	amp	blaine	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	blaine	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	kilowatt	kilowatt hour per ton	ton per hour	ton per hour	percentage	percentage	millibar	millibar	kilowatt	kilowatt	kilowatt	percentage	kilowatt	ton per hour	ton per hour	kilowatt	blaine	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	kilowatt	kilowatt hour per ton	_	kilowatt	percentage	kilowatt	ton per hour	ton per hour	kilowatt	blaine	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	kilowatt	kilowatt hour per ton	_	ton per hour	ton per hour	_	percentage	percentage	_	millibar	millibar	_	kilowatt	kilowatt	_	_	kilowatt	kilowatt	percentage	percentage	kilowatt	kilowatt	ton per hour	ton per hour	ton per hour	ton per hour	amp	amp	blaine	blaine	percentage	percentage	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,50,0)	Result(1,50,0)	Result(1,50,0)	Sample	Sample
