VarId		2	4	6	8	51	52	53	54	55	56	57	58	59	101	102	103	104	105	106	107	108	109	110	111	112	115	116	126	127	128	129	130	139	160	163	168	169	171	172	175	200	201	202	203	501	6050	8100	8300	20100	20100	20200	20200	20300	20300	20400	20400	6011	6012	6013	6014	6051	6016	57	58	6019	7116	7117	7126	7127	7128	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	7196	7197	8000	9000	9303	9311	9312	9400	10000	6011	6012	6013	6014	6051	6016	57	58	6019	7116	7117	7126	7127	7128	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	7196	7197	8000	9000	9303	9311	9312	9400	10000	600000	600000	620101	620151	620199	620201	620251	620299	620301	620351	620399	620401	620451	620499	650000	650000	651101	651151	651201	651251	651301	651351	651401	651451	651501	651551	651601	651651	651704	651754	651804	651854	651901	651951	10000005	20000000	20000002	20000003	20000005	20000010
VarName	Date	Fresh_Feed_Rate_PV	Separator_Speed_PV	Mill_Exit_Pressure_PID_PV	Separator_Fan_Motor_Power_PV	Mill_Motor_Power	Elevator_Motor_Power_Percent	Separator_Motor_Power_Percent	Rejects_Rate	Total_Feed_Rate	Screw_Pump_6_Power_Percent	Cement_Blaine	Cement_Residue	Screw_Pump_7_Current	Clinker_PV	Clinker_SP	Clinker_PV_Percent	Clinker_SP_Percent	Gypsum_PV	Gypsum_SP	Gypsum_PV_Percent	Gypsum_SP_Percent	Slag_PV	Slag_SP	Slag_PV_Percent	Slag_SP_Percent	Mill_Exit_Temperature	Mill_Exit_Pressure	Separator_Inlet_Pressure	Separator_Fan_Inlet_Damper	Recirculation_Damper	ESP_Fan_Motor_Power_Percent	ESP_Exit_Damper	Cement_Type	Separator_Fan_Damper_PID_CV	ESP_Fan_Damper_PID_CV	Mill_Exit_Pressure_PID_Status	Separator_Fan_Motor_PID_Status	Blaine_Target	Residue_Target	Screw_Pump_Selection	Mill_Exit_Pressure_PID_HL_Saturation	Mill_Exit_Pressure_PID_LL_Saturation	Separator_Fan_Power_PID_HL_Saturation	Separator_Fan_Power_PID_LL_Saturation	OPTIBAT_ON	Recirculation_factor	KPI_Total_Energy	KPI_Specific_Energy	CM9_Fresh_Feed_Rate_SP	CM9_Fresh_Feed_Rate_SP	CM9_Separator_Speed_SP	CM9_Separator_Speed_SP	CM9_Mill_Exit_Pressure_PID_SP	CM9_Mill_Exit_Pressure_PID_SP	CM9_Separator_Fan_Motor_Power_PID_SP	CM9_Separator_Fan_Motor_Power_PID_SP	Mill_Motor_Power_S	Elevator_Motor_Power_Percent_S	Separator_Motor_Power_Percent_S	Rejects_Rate_S	Total_Feed_Rate_S	Screw_Pump_6_Power_Percent_S	Cement_Blaine	Cement_Residue	Screw_Pump_7_Current_S	Mill_Motor_Power_W_CONS_Max	Mill_Motor_Power_W_CONS_Min	Elevator_Motor_Power_Percent_W_CONS_Max	Elevator_Motor_Power_Percent_W_CONS_Min	Mill_Motor_Power_W_CONS_Delta	Separator_Motor_Power_Percent_W_CONS_Max	Separator_Motor_Power_Percent_W_CONS_Min	Rejects_Rate_W_CONS_Max	Rejects_Rate_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Screw_Pump_6_Power_Percent_W_CONS_Max	Screw_Pump_6_Power_Percent_W_CONS_Min	Cement_Blaine_W_CONS_Max	Cement_Blaine_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min	Screw_Pump_7_Current_W_CONS_Max	Screw_Pump_7_Current_W_CONS_Min	Total_KPI	OPT_Safe Area_flag	W_CONS_SepSpeed_Inc	Feed_Dec_1	Feed_Dec_2	Total_PID_Sat_Constraints	CF	Mill_Motor_Power_S	Elevator_Motor_Power_Percent_S	Separator_Motor_Power_Percent_S	Rejects_Rate_S	Total_Feed_Rate_S	Screw_Pump_6_Power_Percent_S	Cement_Blaine	Cement_Residue	Screw_Pump_7_Current_S	Mill_Motor_Power_W_CONS_Max	Mill_Motor_Power_W_CONS_Min	Elevator_Motor_Power_Percent_W_CONS_Max	Elevator_Motor_Power_Percent_W_CONS_Min	Mill_Motor_Power_W_CONS_Delta	Separator_Motor_Power_Percent_W_CONS_Max	Separator_Motor_Power_Percent_W_CONS_Min	Rejects_Rate_W_CONS_Max	Rejects_Rate_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Screw_Pump_6_Power_Percent_W_CONS_Max	Screw_Pump_6_Power_Percent_W_CONS_Min	Cement_Blaine_W_CONS_Max	Cement_Blaine_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min	Screw_Pump_7_Current_W_CONS_Max	Screw_Pump_7_Current_W_CONS_Min	Total_KPI	OPT_Safe Area_flag	W_CONS_SepSpeed_Inc	Feed_Dec_1	Feed_Dec_2	Total_PID_Sat_Constraints	CF	OPT_Limits_Constraint	OPT_Limits_Constraint	Fresh_Feed_Rate_SP_Max	Fresh_Feed_Rate_SP_Min	Fresh_Feed_Rate_SP_SELECTOR	Separator_Speed_SP_Max	Separator_Speed_SP_Min	Separator_Speed_SP_SELECTOR	Mill_Exit_Pressure_PID_SP_Max	Mill_Exit_Pressure_PID_SP_Min	Mill_Exit_Pressure_PID_SP_SELECTOR	Separator_Fan_Motor_Power_PID_SP_Max	Separator_Fan_Motor_Power_PID_SP_Min	Separator_Fan_Motor_Power_PID_SP_SELECTOR	Total_Constraints	Total_Constraints	Mill_Motor_Power_Max	Mill_Motor_Power_Min	Elevator_Motor_Power_Percent_Max	Elevator_Motor_Power_Percent_Min	Separator_Motor_Power_Percent_Max	Separator_Motor_Power_Percent_Min	Rejects_Rate_Max	Rejects_Rate_Min	Total_Feed_Rate_Max	Total_Feed_Rate_Min	Screw_Pump_6_Power_Percent_Max	Screw_Pump_6_Power_Percent_Min	Cement_Blaine_Target_Margin_Max	Cement_Blaine_Target_Margin_Min	Cement_Residue_Target_Margin_Max	Cement_Residue_Target_Margin_Min	Screw_Pump_7_Current_Max	Screw_Pump_7_Current_Min	OPTIBAT_WATCHDOG	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	OPTIBAT_COMMUNICATION	OPTIBAT_READY
Max		300	100	100	300	4000	100	100	200	400	400	5000	100	400	_	_	100	_	_	_	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	5000	100	_	_	_	_	_	1	_	_	_	300	300	100	100	100	100	300	300	4000	100	100	200	400	400	5000	100	400	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	_	_	_	_	_	4000	100	100	200	400	400	5000	100	400	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	1	1	1	1
Min		0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	0	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	_	_	_	_	_	0	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	_	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0
MaxOp		_	_	_	_	4000	100	100	200	400	400	5000	100	400	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	300	300	100	100	100	100	300	300	4000	100	100	200	400	400	5000	100	400	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	4000	100	100	200	400	400	5000	100	400	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001
Unit		ton per hour	percentage	millibar	kilowatt	kilowatt	percentage	percentage	ton per hour	ton per hour	percentage	blaine	percentage	amp	_	_	percentage	_	_	_	_	_	_	_	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	blaine	percentage	_	_	_	_	_	_	_	_	kilowatt hour per ton	ton per hour	ton per hour	percentage	percentage	millibar	millibar	kilowatt	kilowatt	kilowatt	percentage	percentage	ton per hour	ton per hour	percentage	blaine	percentage	amp	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	kilowatt	percentage	percentage	ton per hour	ton per hour	percentage	blaine	percentage	amp	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	percentage	percentage	_	_	_	_	_	_	_	_	_	kilowatt	kilowatt	percentage	percentage	percentage	percentage	ton per hour	ton per hour	ton per hour	ton per hour	percentage	percentage	blaine	blaine	percentage	percentage	amp	amp	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,50,0)	Result(1,50,0)	Result(1,50,0)	Sample	Sample
