VarId		2	4	6	10	620199	620299	620399	620599	51	52	53	54	55	56	57	58	59	60	113	115	118	124	141	142	149	151	152	153	154	155	156	157	158	159	160	161	162	163	173	184	185	186	501	20000010	20000005	20000000	20000002	20000003	10000005	9000	9000	9025	9025	9125	9125	9225	9225	9325	9325	6030	6030	7138	7138	180	183	202	203	204	205	20100	20200	20300	20500	20100	20300	20200	20500	600000	620101	620151	620201	620251	620301	620351	620501	620551	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	60	60	651101	651151	651201	651251	651301	651351	651401	651451	651501	651551	651601	651651	651701	651751	651801	651851	651901	651951	652001	652051	6000	8002	7000	7000	8000	8000	8001	8001	8002	8002	10000	10000	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	7196	7197	7206	7207	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7176	7177	7186	7187	7196	7197	7206	7207
VarName	Date	Fresh_Feed_Rate_PV	Separator_Speed_PV	Mill_Exit_Pressure_PV	Separator_Exit_Pressure_PV	Fresh_Feed_Rate_SP_SELECTOR	Separator_Speed_SP_SELECTOR	Mill_Exit_Pressure_PID_SP_SELECTOR	Separator_Exit_Pressure_SP_SELECTOR	Mill_Motor_1_Power	Mill_Motor_2_Power	Elevator_Motor_Power	Separator_Motor_Power	Mill_Fan_Motor_Power	Separator_Fan_Motor_Power	Electronic_Ear	Rejects	Total_Feed_Rate	Cement_Residue	Mill_Inlet_Pressure	Mill_Exit_Temperature_Material	Separator_Inlet_Pressure	Fresh_Air_Damper	Separator_Exit_Pressure_PID_PV	Separator_Fan_Speed_PID_CV	Bag_Filter_DP	Clinker_PV_Percent	Clinker_SP_Percent	Limestone_PV_Percent	Limestone_SP_Percent	Gypsum_PV_Percent	Gypsum_SP_Percent	Slag_PV_Percent	Slag_SP_Percent	Fly_Ash_PV_Percent	Fly_Ash_SP_Percent	Cement_Type	Cement_Residue_Target	Clinker_FCaO	Sampling_Flag	Separator_Fan_Speed_PID_CV_HL	Separator_Fan_Speed_PID_CV_LL	Separator_Speed_rpm	OPTIBAT_ON	OPTIBAT_READY	OPTIBAT_COMMUNICATION	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	Communication_Flag_Copy	OPT_Safe Area_flag	OPT_Safe Area_flag	W_CONS_FeedDec	W_CONS_FeedDec	Feed_Dec_1	Feed_Dec_1	Feed_Dec_2	Feed_Dec_2	Feed_Dec_3	Feed_Dec_3	Elevator_Motor_Power_Delta	Elevator_Motor_Power_Delta	Elevator_Motor_Power_W_CONS_Delta	Elevator_Motor_Power_W_CONS_Delta	Bag_Filter_Inlet_Pressure_PID_Status	Separator_Exit_Pressure_PID_Status	Mill_Fan_Speed_PID_HL_Saturation	Mill_Fan_Speed_PID_LL_Saturation	Separator_Fan_Speed_PID_HL_Saturation	Separator_Fan_Speed_PID_LL_Saturation	OPT_Fresh_Feed_Rate_SP	OPT_Separator_Speed_SP	OPT_Mill_Exit_Pressure_PID_SP	OPT_Separator_Exit_Pressure_SP	OPT_Fresh_Feed_Rate_SP	OPT_Mill_Exit_Pressure_PID_SP	OPT_Separator_Speed_SP	OPT_Separator_Exit_Pressure_SP	Total_OPT_Limits_Constraints	Read_Limit_Fresh_Feed_SP_Max	Read_Limit_Fresh_Feed_SP_Min	Read_Limit_Separator_Speed_SP_Max	Read_Limit_Separator_Speed_SP_Min	Read_Limit_Mill_Exit_Pressure_PID_SP_Max	Read_Limit_Mill_Exit_Pressure_PID_SP_Min	Read_Limit_Separator_Exit_Pressure_SP_Max	Read_Limit_Separator_Exit_Pressure_SP_Min	Mill_Motor_1_Power	Mill_Motor_1_Power	Mill_Motor_2_Power	Mill_Motor_2_Power	Elevator_Motor_Power	Elevator_Motor_Power	Separator_Motor_Power	Separator_Motor_Power	Mill_Fan_Motor_Power	Mill_Fan_Motor_Power	Separator_Fan_Motor_Power	Separator_Fan_Motor_Power	Electronic_Ear	Electronic_Ear	Rejects	Rejects	Total_Feed_Rate	Total_Feed_Rate	Cement_Residue	Cement_Residue	Read_Limit_Mill_Motor_1_Power_Max	Read_Limit_Mill_Motor_1_Power_Min	Read_Limit_Mill_Motor_2_Power_Max	Read_Limit_Mill_Motor_2_Power_Min	Read_Limit_Elevator_Motor_Power_Max	Read_Limit_Elevator_Motor_Power_Min	Read_Limit_Separator_Motor_Power_Max	Read_Limit_Separator_Motor_Power_Min	Read_Limit_Mill_Fan_Motor_Power_Max	Read_Limit_Mill_Fan_Motor_Power_Min	Read_Limit_Separator_Fan_Motor_Power_Max	Read_Limit_Separator_Fan_Motor_Power_Min	Read_Limit_Electronic_Ear_Max	Read_Limit_Electronic_Ear_Min	Read_Limit_Rejects_Max	Read_Limit_Rejects_Min	Read_Limit_Total_Feed_Rate_Max	Read_Limit_Total_Feed_Rate_Min	Read_Limit_Cement_Residue_Max	Read_Limit_Cement_Residue_Min	Total_Energy_Consumption	KPI_Specific_Energy	Total_Constraint	Total_Constraint	Total_KPI	Total_KPI	KPI_Throughput	KPI_Throughput	KPI_Specific_Energy	KPI_Specific_Energy	CF	CF	Mill_Motor_1_Power_W_CONS_Max	Mill_Motor_1_Power_W_CONS_Min	Mill_Motor_2_Power_W_CONS_Max	Mill_Motor_2_Power_W_CONS_Min	Elevator_Motor_Power_W_CONS_Max	Elevator_Motor_Power_W_CONS_Min	Separator_Motor_Power_W_CONS_Max	Separator_Motor_Power_W_CONS_Min	Mill_Fan_Motor_Power_W_CONS_Max	Mill_Fan_Motor_Power_W_CONS_Min	Separator_Fan_Motor_Power_W_CONS_Max	Separator_Fan_Motor_Power_W_CONS_Min	Electronic_Ear_W_CONS_Max	Electronic_Ear_W_CONS_Min	Rejects_W_CONS_Max	Rejects_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min	Mill_Motor_1_Power_W_CONS_Max	Mill_Motor_1_Power_W_CONS_Min	Mill_Motor_2_Power_W_CONS_Max	Mill_Motor_2_Power_W_CONS_Min	Elevator_Motor_Power_W_CONS_Max	Elevator_Motor_Power_W_CONS_Min	Separator_Motor_Power_W_CONS_Max	Separator_Motor_Power_W_CONS_Min	Mill_Fan_Motor_Power_W_CONS_Max	Mill_Fan_Motor_Power_W_CONS_Min	Separator_Fan_Motor_Power_W_CONS_Max	Separator_Fan_Motor_Power_W_CONS_Min	Electronic_Ear_W_CONS_Max	Electronic_Ear_W_CONS_Min	Rejects_W_CONS_Max	Rejects_W_CONS_Min	Total_Feed_Rate_W_CONS_Max	Total_Feed_Rate_W_CONS_Min	Cement_Residue_W_CONS_Max	Cement_Residue_W_CONS_Min
Max		400	100	0	0	_	_	_	_	3000	3000	240	135	484	1209	100	300	400	100	_	_	_	_	_	_	20	100	100	100	100	100	100	100	100	100	100	10	100	100	_	_	_	_	1	1	1	1	1	1	1	_	_	_	_	_	_	_	_	_	_	240	240	_	_	_	_	1	1	1	1	400	100	0	0	400	0	100	0	_	_	_	_	_	_	_	_	_	3000	3000	3000	3000	240	240	135	135	484	484	1209	1209	100	100	300	300	400	400	100	100	3000	3000	3000	3000	240	240	135	135	484	484	1209	1209	100	100	300	300	400	400	100	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
Min		0	0	-40	-100	_	_	_	_	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	-240	-240	_	_	_	_	0	0	0	0	0	0	-40	-100	0	-40	0	-100	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MaxOp		_	_	_	_	_	_	_	_	1800	1900	55	100	100	400	20	250	400	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1.8	1.8	_	_	_	_	_	_	_	_	150	80	-5	-44	150	-5	80	-44	_	_	_	_	_	_	_	_	_	1800	1800	1900	1900	55	55	100	100	100	100	400	400	20	20	250	250	400	400	5	5	1720	1720	1820	1820	50	50	50	50	85	85	360	360	13	13	160	160	270	270	2	2	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	_	_	_	_	1500	1500	30	20	20	200	4	50	100	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	-4	-4	_	_	_	_	_	_	_	_	80	60	-20	-70	80	-20	60	-70	_	_	_	_	_	_	_	_	_	1500	1500	1500	1500	30	30	20	20	20	20	200	200	4	4	50	50	100	100	0	0	1600	1600	1700	1700	45	45	30	30	55	55	320	320	6	6	100	100	200	200	1	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	1	1	1	1	1	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.01	0.01	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Unit		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,50,0)	Result(1,50,0)	Result(1,50,0)	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,11,0)	Result(1,11,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)	Result(1,40,600)
1212359	2025-01-30 09:59:17	106.5391	69.022260000000003	-10.66647	-47.938369999999999	1	1	1	1	1731.971	1729.2809999999999	36.346690000000002	36.956040000000002	21.864730000000002	299.81999999999999	19.95804	123.0187	229.8767	1.6000000000000001	-5.3909859999999998	101.7694	-11.129200000000001	0.65465859999999998	-47.862409999999997	980	3.3022279999999999	54	53.695549999999997	20.13674	19.949999999999999	3.7428129999999999	3.5999989999999999	0	0	22.375599999999999	22.399999999999999	1	2	4.4699999999999998	1	90	30	176.67099999999999	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	-0.49252800000000002	0.196493	0	0	0	0	0	0	0	0	105.87949999999999	68.994420000000005	-10.66647	-47.862409999999997	105.77829300000001	-10.716469999999999	69.009420000000006	-47.81241	null	108	95	73.743020000000001	70.391059999999996	-13	-14	-47	-50	1732.1137940000001	1732.070514	1729.1431520000001	1729.022211	35.024321999999998	36.402365000000003	37.073998000000003	37.040443000000003	21.991181000000001	21.883316000000001	299.75093500000003	299.93552299999999	19.954521	19.945685000000001	123.569091	123.559257	230.26600300000001	230.31464099999999	3.8871530000000001	3.8306870000000002	1800	1690	1800	1690	50	35	55	30	85	55	390	300	13	6	135	100	400	200	2.2000000000000002	1.8	3856.2394599999998	36.195532999999998	820.87412700000004	820.95399399999997	-0.105778	-0.10588	105.77829300000001	105.87949999999999	36.445070999999999	36.422105999999999	-80111.933405999996	-80098.013372999994	10	1	10	1	200	20	80	40	5	0.93179999999999996	5	0.99979399999999996	9.3045480000000005	100	0	0	70	30	137.63798499999999	100	10	1	10	1	200	20	80	40	5	0.93157699999999999	5	0.99994700000000003	9.3054310000000005	100	0	0	70	30	137.717038	100
