VarId		1	2	5	6	7	8	51	52	53	54	55	56	59	76	77	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	132	133	134	135	136	137	140	145	146	147	148	151	152	153	154	158	162	182	186	190	191	192	193	194	195	196	197	198	199	200	201	202	218	219	222	224	226	229	230	231	232	233	234	255	256	257	258	501	601	9400	9600	9605	9610	9620	9621	9622	9630	9630	20100	20100	20300	20300	20400	20400	5111	52	53	54	55	56	135	59	226	7000	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7186	7187	7636	7637	8000	8001	8002	8003	10000	5111	52	53	54	55	56	135	59	7000	7116	7117	7126	7127	7136	7137	7146	7147	7156	7157	7166	7167	7186	7187	7636	7637	8000	8001	8002	8003	10000	620101	620151	620199	620301	620351	620399	620401	620451	620499	651101	651151	651201	651251	651301	651351	651401	651451	651501	651551	651601	651651	651801	651851	660301	660351	20000000	20000002	20000003	20000005	20000010
VarName	Date	Kiln_Feed_Rate_SP	Kiln_Feed_Rate_PV	Fuel_Flow_SP	Fuel_Flow_PV	ID_Fan_Damper_SP	ID_Fan_Damper_PV	Torque_Amps	Kiln_Inlet_Temperature	PH_CO	NOx_Vortex_Inlet	Clinker_FCaO	PH_O2	Torque_Nm	Ratio_Feed_DriveSpeed	Nox_Vortex_smoothed	Clinker_Elevator_Motor_Current	Clinker_Crusher_Motor_Current	Clinker_Conveyor_Damper	Clinker_Pan_Conveyor_Speed	CT_Exit_Temperature_1	CT_Middle_Temperature	CT_Exit_Temperature_2	CT_Inlet_Temperature	Damper_After_RM_Splitter	Bag_Filter_Fan_Power	Bag_Filter_Fan_Speed	Bag_Filter_Chamber_1_mA	Bag_Filter_Chamber_1_V	Bag_Filter_Chamber_2_mA	Bag_Filter_Chamber_2_V	CT_Inside_Material_Temperature	CT_Water_Pump_Motor_1_Current	CT_Water_Pump_Motor_2_Current	Water_Flow_Valve_CT	Kiln_Exit_Pressure	BZT	Water_Flow_Flame	Kiln_Elevator_Current	Kiln_Feed_Blower_1_Current	Kiln_Feed_Blower_2_Current	PH_Exit_Temperature	Cyclone_4_RS_Exit_Temperature	Cyclone_4_LS_Exit_Temperature	Cyclone_2_Exit_Temperature	Cyclone_4_Right_Cone_Temperature	Cyclone_4_Left_Cone_Temperature	Kiln_Inlet_Pressure	CO_Vortex_Inlet	O2_Vortex_Inlet	Main_Drive_Speed	ID_Fan_Damper	ID_Fan_Current	Stack_NOx	Stack_SO2	Stack_CO	Stack_O2	Kiln_Running_Signal	Kiln_Feed_AM	Kiln_Feed_LSF	Kiln_Feed_SM	Kiln_Feed_SO3	Kiln_Feed_SUM	Water_Flow_CT	Clinker_Al2O3	Clinker_AM	Clinker_C2S	Clinker_C3A	Clinker_C3S	Clinker_C4AF	Clinker_CaO	Clinker_Fe2O3	Clinker_K2O	Clinker_FCaO_Target	Fuel_NCV	Specific_Energy	Clinker_Production	NOx_Stack_Water_Removed	PH_Cleaning	Vortex_Analyzer_Cleaning	Kiln_Feed_Sampling_Time	Clinker_Sampling_Time	Clinker_Correction_Factor	Kiln_Inlet_vs_Vortex_Abs_DP	NOx_Selector	Temperature_Selector	Coal_Mill_ON	Coating_Drops_Flag	OPTIBAT_ON	Torque_smoothed	Kiln_Inlet_Temperature_Flag	SS_FreeCaO	FreeCaO_error	SS_FreeCaO_prediction_corrected	FreeCaO_control_Delta	FreeCaO_control_REC	FreeCaO_control_NOREC	FreeCaO_prediction	FreeCaO_prediction	OPT_Kiln_Feed_Rate_SP	OPT_Kiln_Feed_Rate_SP	OPT_Fuel_Flow_SP	OPT_Fuel_Flow_SP	OPT_ID_Fan_Damper_SP	OPT_ID_Fan_Damper_SP	Torque_Delta	Kiln_Inlet_Temperature	PH_CO	NOx_Vortex_Inlet	Clinker_FCaO	PH_O2	Cyclone_2_Exit_Temperature	Torque_Nm	NOx_Stack_Water_Removed	Total_Constraint	Torque_W_CONS_Max	Torque_W_CONS_Min	Kiln_Inlet_Temperature_W_CONS_Max	Kiln_Inlet_Temperature_W_CONS_Min	PH_CO_W_CONS_Max	PH_CO_W_CONS_Min	NOx_W_CONS_Max	NOx_W_CONS_Min	Clinker_FCaO_W_CONS_Max	Clinker_FCaO_W_CONS_Min	PH_O2_W_CONS_Max	PH_O2_W_CONS_Min	Vortex_Exit_Temperature_W_CONS_Max	Vortex_Exit_Temperature_W_CONS_Min	Specific_Energy_W_CONS_Max	Specific_Energy_W_CONS_Min	Total_KPI	KPI_PH_O2	KPI_Throughput	KPI_Specific_Energy	CF	Torque_Delta	Kiln_Inlet_Temperature	PH_CO	NOx_Vortex_Inlet	Clinker_FCaO	PH_O2	Cyclone_2_Exit_Temperature	Torque_Nm	Total_Constraint	Torque_W_CONS_Max	Torque_W_CONS_Min	Kiln_Inlet_Temperature_W_CONS_Max	Kiln_Inlet_Temperature_W_CONS_Min	PH_CO_W_CONS_Max	PH_CO_W_CONS_Min	NOx_W_CONS_Max	NOx_W_CONS_Min	Clinker_FCaO_W_CONS_Max	Clinker_FCaO_W_CONS_Min	PH_O2_W_CONS_Max	PH_O2_W_CONS_Min	Vortex_Exit_Temperature_W_CONS_Max	Vortex_Exit_Temperature_W_CONS_Min	Specific_Energy_W_CONS_Max	Specific_Energy_W_CONS_Min	Total_KPI	KPI_PH_O2	KPI_Throughput	KPI_Specific_Energy	CF	Read_Limit_Kiln_Feed_Rate_SP_Max	Read_Limit_Kiln_Feed_Rate_SP_Min	Read_Limit_Kiln_Feed_Rate_SP_SELECTOR	Read_Limit_Fuel_Flow_SP_Max	Read_Limit_Fuel_Flow_SP_Min	Read_Limit_Fuel_Flow_SP_SELECTOR	Read_Limit_ID_Fan_Damper_SP_Max	Read_Limit_ID_Fan_Damper_SP_Min	Read_Limit_ID_Fan_Damper_SP_SELECTOR	Read_Limit_Torque_Max	Read_Limit_Torque_Min	Read_Limit_Kiln_Inlet_Temperature_Max	Read_Limit_Kiln_Inlet_Temperature_Min	Read_Limit_PH_CO_Max	Read_Limit_PH_CO_Min	Read_Limit_NOx_Max	Read_Limit_NOx_Min	Read_Limit_Clinker_FCaO_Max	Read_Limit_Clinker_FCaO_Min	Read_Limit_PH_O2_Max	Read_Limit_PH_O2_Min	Read_Limit_Vortex_Exit_Temperature_Max	Read_Limit_Vortex_Exit_Temperature_Min	Read_Limit_Specific_Energy_Max	Read_Limit_Specific_Energy_Min	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	OPTIBAT_COMMUNICATION	OPTIBAT_READY
Max		200	200	20	20	100	100	800	1200	2	2000	15	25	2000	3	2000	_	_	_	_	_	_	_	500	_	_	_	_	_	_	_	_	_	_	_	_	_	5000	_	_	_	500	500	500	700	1200	_	0	_	23	3	100	100	_	_	_	_	_	_	105	5	_	_	_	_	_	_	_	_	_	_	_	_	25	20000	1500	_	2000	_	_	_	_	_	_	_	_	_	_	1	800	_	15	15	15	15	15	15	15	15	200	200	20	20	100	100	2000	1200	2	2000	15	25	700	2000	2000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	25	200	1500	_	2000	1200	2	2000	15	25	700	2000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	25	200	1500	_	200	200	_	20	20	_	100	100	_	2000	2000	1200	1200	2	2	2000	2000	15	15	25	25	700	700	1500	1500	1	1	1	1	1
Min		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	0	0	0	0	0	_	-25	_	0	0	0	0	_	_	_	_	_	_	50	0	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	_	0	_	_	_	_	_	_	_	_	_	_	0	0	_	0	-15	0	-15	0	0	0	0	0	0	0	0	0	0	-2000	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	_	-2000	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	_	0	0	_	0	0	_	0	0	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MaxOp		_	_	_	_	_	_	800	1200	2	2000	15	25	2000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	700	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	2000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	200	200	20	20	100	100	30	1200	2	2000	15	25	700	2000	2000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1500	_	30	1200	2	2000	15	25	700	2000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1500	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	_	_	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	-15	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	-15	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	3	3	3	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.001	0.01	0.001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.001	0.01	0.001	0.001	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001
Unit		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,10,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,10,0)	Result(1,15,0)	Result(1,15,0)	Result(1,15,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,15,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,50,0)	Result(1,50,0)	Result(1,50,0)	Sample	Sample
