VarId		409	4306	4306	4200	4200	4247	4247	4298	4298	4240	4240	4400	4400	1014	1014	1014	238	238	238	181	181	181	318	318	318	301	301	301	1008	1008	1008	310	310	310	234	234	234	251	251	251	42	803	803	803	317	317	317	218	218	218	2300	2300	7000200	7000200	7000201	7000201	7000210	7000210	7000211	7000211	7000220	7000220	7000221	7000221	7000230	7000230	7000231	7000231	7000240	7000240	7000241	7000241	7000250	7000250	7000251	7000251	7000260	7000260	2601	2601	2651	2651	2609	2609	2659	2659	2606	2606	2656	2656	2604	2604	2654	2654	2603	2603	2653	2653	2607	2607	2657	2657	2605	2605	2655	2655	2608	2608	2658	2658	2602	2602	2652	2652	2610	2610	2660	2660	3020	3020	2250	2250	10000000	10000000	10000000	10000002	10000003	410	3015	3017	60000	60001	60002	60003	60004	60005	60006	60007	60008	60009	60010	60011	60012	60013	60014	60015	60016	60017	60018	60019	60020	60021	7000000	7000010	7000020	7000030	7000040	7000050	7000001	7000011	7000021	7000031	7000041	7000051	8000000	8000001	8000010	8000011	8000020	8000021	8000030	8000031	8000040	8000041	8000050	8000051	8000060	8000061	8000070	8000071
VarName	Date	OPTIBATON_OPC	 OPT_SP Cyclone DP 321FN750_I01_P21_SPA	 OPT_SP Cyclone DP 321FN750_I01_P21_SPA	 OPT_SP Grinding pressure SYS2_GRPR_SP_HYD SYS	 OPT_SP Grinding pressure SYS2_GRPR_SP_HYD SYS	 OPT_SP Water spray 321WI122_N01_F01_SPM	 OPT_SP Water spray 321WI122_N01_F01_SPM	 OPT_SP Separator speed 321MD177_I01_H21_SPA	 OPT_SP Separator speed 321MD177_I01_H21_SPA	 OPT_SP Feed rate 321MD110_I01_P21_SPM	 OPT_SP Feed rate 321MD110_I01_P21_SPM	 OPT_SP Inlet temp_SPA_321RM100_N01_T01	 OPT_SP Inlet temp_SPA_321RM100_N01_T01	 Raw_mill_DP_delta	 Raw_mill_DP_delta	 Raw_mill_DP_delta	 Raw_mill_DP_321RM100_N04_P01	 Raw_mill_DP_321RM100_N04_P01	 Raw_mill_DP_321RM100_N04_P01	 Bed_depth_ROLL3_BEDDEPTH	 Bed_depth_ROLL3_BEDDEPTH	 Bed_depth_ROLL3_BEDDEPTH	Fan speed 321FN750_M01_S01	Fan speed 321FN750_M01_S01	Fan speed 321FN750_M01_S01	 Separator_motor_kW_321MD177_M01_J01	 Separator_motor_kW_321MD177_M01_J01	 Separator_motor_kW_321MD177_M01_J01	 Rejects_Elevator_kW_delta	 Rejects_Elevator_kW_delta	 Rejects_Elevator_kW_delta	 Rejects_elevator_motor_kW_321BE400_M01_J01	 Rejects_elevator_motor_kW_321BE400_M01_J01	 Rejects_elevator_motor_kW_321BE400_M01_J01	 Exit_temperature_321RM100_N03_T01	 Exit_temperature_321RM100_N03_T01	 Exit_temperature_321RM100_N03_T01	 Vibrations_321HY130_N05_V01	 Vibrations_321HY130_N05_V01	 Vibrations_321HY130_N05_V01	Residue R1_MESH170	 Residue_R1_MESH70_Prediction	 Residue_R1_MESH70_Prediction	 Residue_R1_MESH70_Prediction	 Fan_motor_kW_321FN750_M01_J01	 Fan_motor_kW_321FN750_M01_J01	 Fan_motor_kW_321FN750_M01_J01	 Raw_mill_motor_kW_321MD110_M01_J02	 Raw_mill_motor_kW_321MD110_M01_J02	 Raw_mill_motor_kW_321MD110_M01_J02	Cost function	Cost function	CONS_MinOpt_Fresh_Feed_Delta	CONS_MinOpt_Fresh_Feed_Delta	CONS_MaxOpt_Fresh_Feed_Delta	CONS_MaxOpt_Fresh_Feed_Delta	CONS_MinOpt_Separtor_speed_Delta	CONS_MinOpt_Separtor_speed_Delta	CONS_MaxOpt_Separator_speed_Delta	CONS_MaxOpt_Separator_speed_Delta	CONS_MinOpt_Cyclone_DP_Delta	CONS_MinOpt_Cyclone_DP_Delta	CONS_MaxOpt_Cyclone_DP_Delta	CONS_MaxOpt_Cyclone_DP_Delta	CONS_MinOpt_Grinding_press_Delta	CONS_MinOpt_Grinding_press_Delta	CONS_MaxOpt_Grinding_press_Delta	CONS_MaxOpt_Grinding_press_Delta	CONS_MinOpt_Inlet_Temp_Delta	CONS_MinOpt_Inlet_Temp_Delta	CONS_MaxOpt_Inlet_temp_Delta	CONS_MaxOpt_Inlet_temp_Delta	CONS_MinOpt_Water_spray_Delta	CONS_MinOpt_Water_spray_Delta	CONS_MaxOpt_Water_spray_Delta	CONS_MaxOpt_Water_spray_Delta	CONS_Product_of_operatived_fromECS	CONS_Product_of_operatived_fromECS	W_CONS_ExitTemperature_LOW	W_CONS_ExitTemperature_LOW	W_CONS_ExitTemperature_HIGH	W_CONS_ExitTemperature_HIGH	W_CONS_ElevatorMotorkW_INC_LOW	W_CONS_ElevatorMotorkW_INC_LOW	W_CONS_ElevatorMotorkW_INC_HIGH	W_CONS_ElevatorMotorkW_INC_HIGH	W_CONS_ElevatorMotorkW_ABS_LOW	W_CONS_ElevatorMotorkW_ABS_LOW	W_CONS_ElevatorMotorkW_ABS_HIGH	W_CONS_ElevatorMotorkW_ABS_HIGH	W_CONS_DP_ABS_LOW	W_CONS_DP_ABS_LOW	W_CONS_DP_ABS_HIGH	W_CONS_DP_ABS_HIGH	W_CONS_DP_INC_LOW	W_CONS_DP_INC_LOW	W_CONS_DP_INC_HIGH	W_CONS_DP_INC_HIGH	W_CONS_Vibrations_LOW	W_CONS_Vibrations_LOW	W_CONS_Vibrations_HIGH	W_CONS_Vibrations_HIGH	W_CONS_Residue_LOW	W_CONS_Residue_LOW	W_CONS_Residue_HIGH	W_CONS_Residue_HIGH	W_CONS_MillMotorkW_LOW	W_CONS_MillMotorkW_LOW	W_CONS_MillMotorkW_HIGH	W_CONS_MillMotorkW_HIGH	W_CONS_FanMotorkW_LOW	W_CONS_FanMotorkW_LOW	W_CONS_FanMotorkW_HIGH	W_CONS_FanMotorkW_HIGH	W_CONS_SeparatorMotorkW_LOW	W_CONS_SeparatorMotorkW_LOW	W_CONS_SeparatorMotorkW_HIGH	W_CONS_SeparatorMotorkW_HIGH	Weighted_CONS_VibrationsINC_slope	Weighted_CONS_VibrationsINC_slope	Product of constraints	Product of constraints	Support	Support	Support	MacroState	ResultExistence	OPTIBAT_COMMUNICATION	Vibrations_slope_const_activation	Vibrations_model_selector_DP_value	MillMotorCons_ModPred_write	MillMotorCons_ActValue_write	SepMotorCons_ModPred_write	SepMotorCons_ActValue_write	FanMotorCons_ModPred_write	FanMotorCons_ActValue_write	ElevMotorCons_ModPred_write	ElevMotorCons_ActValue_write	FanSpeed_ModPred_write	FanSpeed_ActValue_write	MillDP_ModPred_write	MillDP_ActValue_write	MillOutTemp_ModPred_write	MillOutTemp_ActValue_write	Residue_ModPred_write	Residue_ActValue_write	BedHeight_ModPred_write	BedHeight_ActValue_write	VibUnder_ModPred_write	VibUnder_ActValue_write	VibOver_ModPred_write	VibOver_ActValue_write	MinOpt_Fresh_Feed_FromECS	MinOpt_Separtor_speed_FromECS	MinOpt_Cyclone_DP_FromECS	MinOpt_Grinding_press_FromECS	MinOpt_Inlet_temp_FromECS	MinOpt_Water_spray_FromECS	MaxOpt_Fresh_Feed_FromECS	MaxOpt_Separator_speed_FromECS	MaxOpt_Cyclone_DP_FromECS	MaxOpt_Grinding_press_FromECS	MaxOpt_Inlet_temp_FromECS	MaxOpt_Water_spray_FromECS	MinOpt_Residue_FromECS	MaxOpt_Residue_FromECS	MinOpt_Fan_Motor_FromECS	MaxOpt_Fan_Motor_FromECS	MinOpt_Mill_Motor_FromECS	MaxOpt_Mill_Motor_FromECS	MinOpt_Separator_Motor_FromECS	MaxOpt_Separator_Motor_FromECS	MinOpt_Elevator_motor_FromECS	MaxOpt_Elevator_Motor_FromECS	MinOpt_Mill_DP_FromECS	MaxOpt_Mill_DP_FromECS	MinOpt_Vibrations_FromECS	MaxOpt_Vibrations_FromECS	MinOpt_Outlet_Temp_FromECS	MaxOpt_Outlet_Temp_FromECS
Max		_	10	10	3000	3000	100	100	100	100	1000	1000	1000	1000	50	50	50	50	50	50	26	26	26	100	100	100	448	448	448	80	80	80	80	80	80	300	300	300	3	3	3	100	100	100	100	6100	6100	6100	5000	5000	5000	_	_	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	_	_	_	_	1	1	1	1	1	_	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1000	100	10	3000	1000	100	1000	100	10	3000	1000	100	100	100	6100	6100	5000	5000	448	448	80	80	50	50	3	3	300	300
Min		_	0	0	0	0	0	0	0	0	0	0	0	0	-50	-50	-50	0	0	0	0	0	0	0	0	0	0	0	0	-80	-80	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	0	0	0	0	0	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MaxOp		_	8	8	2000	2000	100	100	100	100	1000	1000	1000	1000	1	1	1	40	40	40	_	_	_	_	_	_	350	350	350	1.5	1.5	1.5	50	50	50	300	300	300	1	1	1	12	100	100	100	5600	5600	5600	4000	4000	4000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	5	5	1500	1500	0	0	50	50	420	420	0	0	-1.5	-1.5	-1.5	25	25	25	_	_	_	_	_	_	0	0	0	-1.5	-1.5	-1.5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	0.5	0.5	100	100	10	10	5	5	10	10	10	10	0.5	0.5	0.5	3	3	3	1	1	1	2	2	2	_	_	_	0.050000000000000003	0.050000000000000003	0.050000000000000003	1	1	1	10	10	10	_	_	_	_	_	_	_	1	1	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0001	0.0001	0.0001	0.01	0.01	0.01	0.01	0.01	0.01	0.0001	0.0001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.001	0.001	0.0001	0.0001	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Unit		_	_	_	pound-force per square inch	pound-force per square inch	percentage	percentage	percentage	percentage	ton per hour	ton per hour	degree fahrenheit	degree fahrenheit	_	_	_	_	_	_	_	_	_	percentage	percentage	percentage	kilowatt	kilowatt	kilowatt	_	_	_	kilowatt	kilowatt	kilowatt	degree fahrenheit	degree fahrenheit	degree fahrenheit	_	_	_	percentage	_	_	_	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	kilowatt	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Sample	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,10,100494)	Result(1,30,100000)	Result(1,40,100000)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,100000)	Result(1,40,100000)	Result(1,30,0)	Result(1,40,0)	RS(1,20,0)	RS(1,30,0)	RS(1,40,0)	Result(1,20,0)	Result(1,20,0)	Result(1,10,0)	NotSampled	NotSampled	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
