VarId		1	2	3	4	5	6	7	8	51	52	53	54	55	56	57	58	59	111	112	101	107	212	220	503	505	504	10000005	20000000	20000002	20000003	218	620199	620299	620399	620499	620101	620104	620107	620151	620154	620157	620201	620204	620207	620251	620254	620257	620301	620304	620307	620351	620354	620357	620401	620404	620407	620451	620454	620457	651101	651151	651201	651221	651251	651301	651321	651351	651401	651451	651501	651551	651601	651651	651701	651751	651801	651851	651901	651951	661101	661151	652201	652251	652301	652351	20100	20100	20200	20200	20300	20300	20400	20400	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	76	76	76	111	111	112	112	600001	600001	600002	600002	600003	600003	7000	7000	8001	8001	8001	8002	8002	8003	8003	8000	8000	10000	10000	7116	7116	7117	7117	7126	7126	7127	7127	7136	7136	7137	7137	7146	7146	7147	7147	7156	7156	7157	7157	7166	7166	7167	7167	7168	7168	7176	7176	7177	7177	7186	7186	7187	7187	7196	7196	7197	7197	7216	7216	7217	7217	7226	7226	7227	7227	7236	7236	7237	7237	762	762	671101	671102	671201	671202	671301	671302	9	13	4
VarName	Date	CM2 TOTAL FEED SETPOINT	CM2 TOTAL FEED	SEPARATOR SPEED SETPOINT percent	SEPARATOR ACTUAL SPEED	Mill Outlet Pressure SP	PRESSURE AFTER MILL	Separator fan PID SP	Separator Exit Draft Pressure	CM2 Reject feed rate	Blaine	CM2 RESIDUE 45mc	MAIN DRIVE 1 MOTOR POWER	MAIN DRIVE 2 MOTOR POWER	BUCKET ELEVATOR MOTOR1 CURRENT	FILTER FAN CURRENT	SEPARATOR CURRENT	SEPARATOR FAN POWER	Compatment Fill Level 1 Acoustic Ear	Acoustic Ear Level 2	CM2 Clinker feed rate	Cement Mill Inlet Pressure	CM2 Clinker feed rate PV percent	CALCULATED TOTAL FEED	OPTIBAT_ON	OPTIBAT_READY	OPTIBAT_COMMUNICATION	OPTIBAT_WATCHDOG	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	CM_Type	CM2 TOTAL FEED_SELECTOR	SEPARATOR  SPEED_SELECTOR	Mill Outlet Pressure_SELECTOR	Separator fan PID_SELECTOR	Read_Limit_CM2 TOTAL FEED SETPOINT_CEM II_B_M_W_L_42_5R_Max	Read_Limit_CM2 TOTAL FEED SETPOINT_CEM IV_B_P_W_32_5R_Max	Read_Limit_CM2 TOTAL FEED SETPOINT_CEM IV_B_P_W_42_5N_Max	Read_Limit_CM2 TOTAL FEED SETPOINT_CEM II_B_M_W_L_42_5R_Min	Read_Limit_CM2 TOTAL FEED SETPOINT_CEM IV_B_P_W_32_5R_Min	Read_Limit_CM2 TOTAL FEED SETPOINT_CEM IV_B_P_W_42_5N_Min	Read_Limit_SEPARATOR SPEED SETPOINT percent_CEM II_B_M_W_L_42_5R_Max	Read_Limit_SEPARATOR SPEED SETPOINT percent_CEM IV_B_P_W_32_5R_Max	Read_Limit_SEPARATOR SPEED SETPOINT percent_CEM IV_B_P_W_42_5N_Max	Read_Limit_SEPARATOR  SPEED SETPOINT percent_CEM II_B_M_W_L_42_5R_Min	Read_Limit_SEPARATOR SPEED SETPOINT percent_CEM IV_B_P_W_32_5R_Min	Read_Limit_SEPARATOR  SPEED SETPOINT percent_CEM IV_B_P_W_42_5N_Min	Read_Limit_Mill Outlet Pressure SP_CEM II_B_M_W_L_42_5R_Max	Read_Limit_Mill Outlet Pressure SP_CEM IV_B_P_W_32_5R_Max	Read_Limit_Mill Outlet Pressure SP_CEM IV_B_P_W_42_5N_Max	Read_Limit_Mill Outlet Pressure SP_CEM II_B_M_W_L_42_5R_Min	Read_Limit_Mill Outlet Pressure SP_CEM IV_B_P_W_32_5R_Min	Read_Limit_Mill Outlet Pressure SP_CEM IV_B_P_W_42_5N_Min	Read_Limit_Separator fan PID SP_CEM II_B_M_W_L_42_5R_Max	Read_Limit_Separator fan PID SP_CEM IV_B_P_W_32_5R_Max	Read_Limit_Separator fan PID SP_CEM IV_B_P_W_42_5N_Max	Read_Limit_Separator fan PID SP_CEM II_B_M_W_L_42_5R_Min	Read_Limit_Separator fan PID SP_CEM IV_B_P_W_32_5R_Min	Read_Limit_Separator fan PID SP_CEM IV_B_P_W_42_5N_Min	Read_Limit_CM2 Reject feed rate_Max	Read_Limit_CM2 Reject feed rate_Min	Read_Limit_Blaine_Max	Read_Limit_Blaine_Target	Read_Limit_Blaine_Min	Read_Limit_CM2 RESIDUE 45mc_Max	Read_Limit_CM2 RESIDUE 45mc_Target	Read_Limit_CM2 RESIDUE 45mc_Min	Read_Limit_MAIN DRIVE 1 MOTOR POWER_Max	Read_Limit_MAIN DRIVE 1 MOTOR POWER_Min	Read_Limit_MAIN DRIVE 2 MOTOR POWER_Max	Read_Limit_MAIN DRIVE 2 MOTOR POWER_Min	Read_Limit_BUCKET ELEVATOR MOTOR1 CURRENT_Max	Read_Limit_BUCKET ELEVATOR MOTOR1 CURRENT_Min	Read_Limit_FILTER FAN CURRENT_Max	Read_Limit_FILTER FAN CURRENT_Min	Read_Limit_SEPARATOR CURRENT_Max	Read_Limit_SEPARATOR CURRENT_Min	Read_Limit_SEPARATOR FAN POWER_Max	Read_Limit_SEPARATOR FAN POWER_Min	Read_Limit_TOTAL FEED_CALCULATED_Max	Read_Limit_TOTAL FEED_CALCULATED_Min	Read_Limit_Sound_Compartment_1_Max	Read_Limit_Sound_Compartment_1_Min	Read_Limit_Sound_Compartment_2_Max	Read_Limit_Sound_Compartment_2_Min	OPT_CM2 TOTAL FEED SETPOINT	OPT_CM2 TOTAL FEED SETPOINT	OPT_SEPARATOR SPEED SETPOINT percent	OPT_SEPARATOR SPEED SETPOINT percent	OPT_Mill Outlet Pressure SP	OPT_Mill Outlet Pressure SP	OPT_Separator fan PID SP	OPT_Separator fan PID SP	CM2 Reject feed rate	CM2 Reject feed rate	Blaine	Blaine	CM2 RESIDUE 45mc	CM2 RESIDUE 45mc	MAIN DRIVE 1 MOTOR POWER	MAIN DRIVE 1 MOTOR POWER	MAIN DRIVE 2 MOTOR POWER	MAIN DRIVE 2 MOTOR POWER	BUCKET ELEVATOR MOTOR1 CURRENT	BUCKET ELEVATOR MOTOR1 CURRENT	FILTER FAN CURRENT	FILTER FAN CURRENT	SEPARATOR CURRENT	SEPARATOR CURRENT	SEPARATOR FAN POWER	SEPARATOR FAN POWER	Total_feed_CALCULATED	Total_feed_CALCULATED	Total_feed_CALCULATED	Compatment Fill Level 1 Acoustic Ear	Compatment Fill Level 1 Acoustic Ear	Acoustic Ear Level 2	Acoustic Ear Level 2	OPT_Limits_Constraints_CEM II_B_M_W_L_42_5R	OPT_Limits_Constraints_CEM II_B_M_W_L_42_5R	OPT_Limits_Constraints_CEM IV_B_P_W_32_5R	OPT_Limits_Constraints_CEM IV_B_P_W_32_5R	OPT_Limits_Constraints_CEM IV_B_P_W_42_5N	OPT_Limits_Constraints_CEM IV_B_P_W_42_5N	Total_Constraints	Total_Constraints	Total_Energy_Consumption	Total_Energy_Consumption	Total_Energy_Consumption	KPI_Throughput	KPI_Throughput	KPI_Specific_Energy	KPI_Specific_Energy	Total_KPI	Total_KPI	CF	CF	CM2 Reject feed rate_Max_W_CONS	CM2 Reject feed rate_Max_W_CONS	CM2 Reject feed rate_Min_W_CONS	CM2 Reject feed rate_Min_W_CONS	Blaine_Max_W_CONS	Blaine_Max_W_CONS	Blaine_Min_W_CONS	Blaine_Min_W_CONS	CM2 RESIDUE 45mc_Max_W_CONS	CM2 RESIDUE 45mc_Max_W_CONS	CM2 RESIDUE 45mc_Min_W_CONS	CM2 RESIDUE 45mc_Min_W_CONS	MAIN DRIVE 1 MOTOR POWER_Max_W_CONS	MAIN DRIVE 1 MOTOR POWER_Max_W_CONS	MAIN DRIVE 1 MOTOR POWER_Min_W_CONS	MAIN DRIVE 1 MOTOR POWER_Min_W_CONS	MAIN DRIVE 2 MOTOR POWER_Max_W_CONS	MAIN DRIVE 2 MOTOR POWER_Max_W_CONS	MAIN DRIVE 2 MOTOR POWER_Min_W_CONS	MAIN DRIVE 2 MOTOR POWER_Min_W_CONS	BUCKET ELEVATOR MOTOR1 CURRENT_Max_W_CONS	BUCKET ELEVATOR MOTOR1 CURRENT_Max_W_CONS	BUCKET ELEVATOR MOTOR1 CURRENT_Min_W_CONS	BUCKET ELEVATOR MOTOR1 CURRENT_Min_W_CONS	BUCKET ELEVATOR MOTOR1 CURRENT_Delta_W_CONS	BUCKET ELEVATOR MOTOR1 CURRENT_Delta_W_CONS	FILTER FAN CURRENT_Max_W_CONS	FILTER FAN CURRENT_Max_W_CONS	FILTER FAN CURRENT_Min_W_CONS	FILTER FAN CURRENT_Min_W_CONS	SEPARATOR CURRENT_Max_W_CONS	SEPARATOR CURRENT_Max_W_CONS	SEPARATOR CURRENT_Min_W_CONS	SEPARATOR CURRENT_Min_W_CONS	SEPARATOR FAN POWER_Max_W_CONS	SEPARATOR FAN POWER_Max_W_CONS	SEPARATOR FAN POWER_Min_W_CONS	SEPARATOR FAN POWER_Min_W_CONS	TOTAL FEED_CALCULATED_Max_W_CONS	TOTAL FEED_CALCULATED_Max_W_CONS	TOTAL FEED_CALCULATED_Min_W_CONS	TOTAL FEED_CALCULATED_Min_W_CONS	Sound_Compartment_1_Max_W_CONS	Sound_Compartment_1_Max_W_CONS	Sound_Compartment_1_Min_W_CONS	Sound_Compartment_1_Min_W_CONS	Sound_Compartment_2_Max_W_CONS	Sound_Compartment_2_Max_W_CONS	Sound_Compartment_2_Min_W_CONS	Sound_Compartment_2_Min_W_CONS	OPT_Safe Area_flag	OPT_Safe Area_flag	Read_Limit_TOTAL FEED_LL_Equations	Read_Limit_TOTAL FEED_HL_Equations	Read_Limit_Mill_Outlet_Pressure_LL_Equations	Read_Limit_Mill_Outlet_Pressure_HL_Equations	Read_Limit_Separator_Exit_Pressure_LL_Equations	Read_Limit_Separator_Exit_Pressure_HL_Equations	Mill_Outlet_Pressure_Target	Separator_Exit_Pressure_Target	SEPARATOR ACTUAL SPEED
Max		200	200	100	1500	30	30	20	20	500	7000	10	2200	2200	170	275	600	700	100	100	_	30	100	700	1	_	_	_	_	_	_	4	_	_	_	_	200	200	200	200	200	200	100	100	100	100	100	100	30	30	30	30	30	30	20	20	20	20	20	20	500	500	7000	7000	7000	10	10	10	2200	2200	2200	2200	170	170	275	275	600	600	700	700	700	700	100	100	100	100	200	200	100	100	30	30	20	20	500	500	7000	7000	10	10	2200	2200	2200	2200	170	170	275	275	600	600	700	700	700	700	700	100	100	100	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	_	_	_	_	_	_	30	20	1500
Min		0	0	0	0	-30	-30	-20	-20	0	0	0	0	0	0	0	0	0	0	0	_	-30	0	0	0	_	_	_	_	_	_	0	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	-30	-30	-30	-30	-30	-30	-20	-20	-20	-20	-20	-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-30	-30	-20	-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	_	_	_	_	_	_	-30	-20	0
MaxOp		145	145	60	900	-5	-5	20	20	500	7000	10	2200	2200	170	275	600	700	100	100	_	30	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	200	200	100	100	30	30	20	20	500	500	7000	7000	10	10	2200	2200	2200	2200	170	170	275	275	600	600	700	700	700	700	700	100	100	100	100	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	900
MinOp		90	90	57	800	-12	-12	12	12	0	0	0	0	0	0	0	0	0	0	0	_	-30	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	-30	-30	-20	-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	800
OperativeIncrease		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	5	5	1.5	1.5	2	2	2	2	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01
Unit		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,40,0)	Result(1,40,0)	Result(1,10,0)
2063740	2025-05-01 23:10:02	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	0	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
