VarId		20100	20300	226	20400	20900	21000	21100	21200	21300	21400	21500	20100	20300	20400	20900	21000	21100	21200	21300	21400	21500	20100	20300	20300	238	113	52	502	503	168	172	99	53	98	193	237	164	187	515	516	517	11000000	11000002	11000003	950	6020	601	20000000	901	902	702	700	710	700	6040	6030	6010	10000	10000	8000	8000	8004	8004	8005	8005	8002	8002	950	950	8500	8500	7000	7000	600000	600000	7001	7001	7248	7248	7118	7118	7128	7128	7237	7237	7236	7236	7227	7227	7226	7226	7246	7246	7247	7247	7216	7216	7217	7217	7196	7196	7197	7197	7186	7186	7187	7187	7176	7176	7177	7177	7146	7146	7147	7147	7136	7136	7137	7137	7126	7126	7127	7127	7116	7116	7117	7117	9000	9000	9102	9102	9101	9101	9202	9202	9103	9103	7005	7005	52	52	53	53	172	172	168	168	530	5182	5182	535	5181	5181	5172	5172	533	5171	5171	7004	7004	601	601	99	99	7003	7003	5131	5131	5131	5129	5129	901	901	9201	9201	910	910	620199	620399	620499	620999	621099	621199	621299	621399	621499	621599	620101	620151	620301	620351	620401	620451	621001	621051	620901	620951	621101	621151	621201	621251	621301	621351	621401	621451	621501	621551	651301	651351	651101	651151	651201	651251	651901	651951	652401	652451	651401	651451	652101	652151	651701	651751	651801	651851	4001	4002	4003	4004	4005	4001	4002	4003	4004	4005	525	526	527	528	540	504	505	812	518	520	521	522	523	524
VarName	Date	OPT_Raw_Meal_Total_Feed_SP	OPT_Petcoke_Main_Burner_SP	Petcoke Feeder Flow rate	OPT_ID_Fan_SP	OPT_Kiln_Hood_Draft_SP	OPT_Undergrate_Pressure_SP	OPT_Cooler_Fan_1_flow_SP	OPT_Cooler_Fan_2_flow_SP	OPT_Cooler_Fan_3_flow_SP	OPT_Cooler_Fan_4_flow_SP	OPT_Cooler_Fan_5_flow_SP	OPT_Raw_Meal_Total_Feed_SP	OPT_Petcoke_Main_Burner_SP	OPT_ID_Fan_SP	OPT_Kiln_Hood_Draft_SP	OPT_Undergrate_Pressure_SP	OPT_Cooler_Fan_1_flow_SP	OPT_Cooler_Fan_2_flow_SP	OPT_Cooler_Fan_3_flow_SP	OPT_Cooler_Fan_4_flow_SP	OPT_Cooler_Fan_5_flow_SP	OPT_Raw_Meal_Total_Feed_SP	OPT_Petcoke_Main_Burner_SP	OPT_Petcoke_Main_Burner_SP	Free Lime Value	MAIN DRIVE KILN CURRENT	CO In Preheater	Stack NOx spot sample	Stack SO2 spot sample	CLINCKER COOLER TEMPRATURE SECONDARY AIR	Cooler Exit Clinker Temperature	Kiln Burning Zone Temperature	O2 In Preheater	Kiln Hood Pressure	AXIAL AIR FLOW	LSF Value	Cooler Fans Pressure chamber 3	Heat Exchanger Inlet Temperature	OPTIBAT_ON	OPTIBAT_COMMUNICATION	OPTIBAT_READY	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	MB_PC_Heat	CO_PH_and_Truck_Unloading_Flag	MAIN DRIVE KILN CURRENT_smoothed	OPTIBAT_WATCHDOG	Ratio_Feed_DriveSpeed_normalized	Total_flow_fan_1_2_3	FreeCaO_predError	SS_FCaO_pred	SS_FCaO_pred_trained	SS_FCaO_pred	Feed_decrease_BZT_Drop_Flag	Fuel_increase_BZT_Drop_Flag	Fuel_reduction_truck_Unloading_TIMER	CF	CF	Total_KPI	Total_KPI	KPI_PH_O2	KPI_PH_O2	KPI_SAT	KPI_SAT	KPI_Throughput	KPI_Throughput	MB_PC_Heat	MB_PC_Heat	Rule_Constraints	Rule_Constraints	Total_Constraint	Total_Constraint	OPT_Limits_Constraint	OPT_Limits_Constraint	CONS_Cooler_Total_Fans_Targets	CONS_Cooler_Total_Fans_Targets	O2_DELTA_W_CONS	O2_DELTA_W_CONS	BZT_W_CONS_Delta	BZT_W_CONS_Delta	Torque_W_CONS_Delta	Torque_W_CONS_Delta	SO2_Monthly_W_CONS_Min	SO2_Monthly_W_CONS_Min	SO2_Monthly_W_CONS_Max	SO2_Monthly_W_CONS_Max	NOx_Monthly_W_CONS_Min	NOx_Monthly_W_CONS_Min	NOx_Monthly_W_CONS_Max	NOx_Monthly_W_CONS_Max	O2_W_CONS_Max	O2_W_CONS_Max	O2_W_CONS_Min	O2_W_CONS_Min	Clinker_Temperature_W_CONS_Max	Clinker_Temperature_W_CONS_Max	Clinker_Temperature_W_CONS_Min	Clinker_Temperature_W_CONS_Min	SAT_W_CONS_Max	SAT_W_CONS_Max	SAT_W_CONS_Min	SAT_W_CONS_Min	ID_SOx_Stack_daily_W_CONS_Max	ID_SOx_Stack_daily_W_CONS_Max	ID_SOx_Stack_daily_W_CONS_Min	ID_SOx_Stack_daily_W_CONS_Min	ID_NOx_Stack_daily_W_CONS_Max	ID_NOx_Stack_daily_W_CONS_Max	ID_NOx_Stack_daily_W_CONS_Min	ID_NOx_Stack_daily_W_CONS_Min	CO_Preheater_W_CONS_Max	CO_Preheater_W_CONS_Max	CO_Preheater_W_CONS_Min	CO_Preheater_W_CONS_Min	FreeCaO_W_CONS_Max	FreeCaO_W_CONS_Max	FreeCaO_W_CONS_Min	FreeCaO_W_CONS_Min	Torque_W_CONS_Max	Torque_W_CONS_Max	Torque_W_CONS_Min	Torque_W_CONS_Min	BZT_W_CONS_Max	BZT_W_CONS_Max	BZT_W_CONS_Min	BZT_W_CONS_Min	Saturations	Saturations	W_CONS_FEED_INC_SafeArea	W_CONS_FEED_INC_SafeArea	W_CONS_Petcoke_INC_SafeArea	W_CONS_Petcoke_INC_SafeArea	Maximum_fuel_change_30min_CONS	Maximum_fuel_change_30min_CONS	W_CONS_FEED_DEC	W_CONS_FEED_DEC	O2_PH_delta	O2_PH_delta	CO In Preheater	CO In Preheater	O2 In Preheater	O2 In Preheater	Cooler Exit Clinker Temperature	Cooler Exit Clinker Temperature	CLINCKER COOLER TEMPRATURE SECONDARY AIR	CLINCKER COOLER TEMPRATURE SECONDARY AIR	Stack NOx monthly rolling avg	SO2_stack_monthly_trend_prediction	SO2_stack_monthly_trend_prediction	Stack SO2 daily trending	SO2_stack_daily_trend_prediction	SO2_stack_daily_trend_prediction	NOx_stack_monthly_trend_prediction	NOx_stack_monthly_trend_prediction	Stack NOx daily trending	NOx_stack_daily_trend_prediction	NOx_stack_daily_trend_prediction	Torque_delta	Torque_delta	MAIN DRIVE KILN CURRENT_smoothed	MAIN DRIVE KILN CURRENT_smoothed	Kiln Burning Zone Temperature	Kiln Burning Zone Temperature	BZT_delta	BZT_delta	FCaO_prediction	FCaO_prediction	FCaO_prediction	FCao_control_Delta	FCao_control_Delta	Ratio_Feed_DriveSpeed_normalized	Ratio_Feed_DriveSpeed_normalized	Maximum_fuel_change_30min	Maximum_fuel_change_30min	Petcoke_flow_real_correction	Petcoke_flow_real_correction	Read_Limit_Raw_meal_total_feed_SP_SELECTOR	Read_Limit_Petcoke_Main_Burner_SP_SELECTOR	Read_Limit_ID_FAN_SP_SELECTOR	Read_Limit_Kiln_Hood_draft_SP_SELECTOR	Read_Limit_Undergrate_pressure_SP_SELECTOR	Read_Limit_Cooler_fan_1_flow_SP_SELECTOR	Read_Limit_Cooler_fan_2_flow_SP_SELECTOR	Read_Limit_Cooler_fan_3_flow_SP_SELECTOR	Read_Limit_Cooler_fan_4_flow_SP_SELECTOR	Read_Limit_Cooler_fan_5_flow_SP_SELECTOR	Read_Limit_Raw_meal_total_feed_SP_Max	Read_Limit_Raw_meal_total_feed_SP_Min	Read_Limit_Petcoke_Main_Burner_SP_Max	Read_Limit_Petcoke_Main_Burner_SP_Min	Read_Limit_ID_FAN_SP_Max	Read_Limit_ID_FAN_SP_Min	Read_Limit_Undergrate_pressure_SP_Max	Read_Limit_Undergrate_pressure_SP_Min	Read_Limit_Kiln_Hood_draft_SP_Max	Read_Limit_Kiln_Hood_draft_SP_Min	Read_Limit_Cooler_fan_1_flow_SP_Max	Read_Limit_Cooler_fan_1_flow_SP_Min	Read_Limit_Cooler_fan_2_flow_SP_Max	Read_Limit_Cooler_fan_2_flow_SP_Min	Read_Limit_Cooler_fan_3_flow_SP_Max	Read_Limit_Cooler_fan_3_flow_SP_Min	Read_Limit_Cooler_fan_4_flow_SP_Max	Read_Limit_Cooler_fan_4_flow_SP_Min	Read_Limit_Cooler_fan_5_flow_SP_Max	Read_Limit_Cooler_fan_5_flow_SP_Min	Read_Limit_FreeCaO_Max	Read_Limit_FreeCaO_Min	Read_Limit_BZT_Max	Read_Limit_BZT_Min	Read_Limit_Torque_Max	Read_Limit_Torque_Min	Read_Limit_SAT_Max	Read_Limit_SAT_Min	Read_Limit_O2_Max	Read_Limit_O2_Min	Read_Limit_CO_Preheater_Max	Read_Limit_CO_Preheater_Min	Read_Limit_Clincker_temperature_Max	Read_Limit_Clincker_temperature_Min	Read_Limit_NOx_stack_daily_Max	Read_Limit_NOx_stack_daily_Min	Read_Limit_SOx_stack_daily_Max	Read_Limit_SOx_stack_daily_Min	IDfan_Chimney_Sat_Delta_CONS	IDfan_Chimney_Sat_Delta_CONS_ACTIVATION	IDfan_Temp_in_front_Delta_CONS	IDfan_Temp_in_front_Delta_CONS_ACTIVATION	IDfan_Delta_ACTIVATION	IDfan_Chimney_Sat_Delta_CONS	IDfan_Chimney_Sat_Delta_CONS_ACTIVATION	IDfan_Temp_in_front_Delta_CONS	IDfan_Temp_in_front_Delta_CONS_ACTIVATION	IDfan_Delta_ACTIVATION	Stack_NOx_Daily_emissions_control	Stack_NOx_Monthly_emissions_control	Stack_SO2_Daily_emissions_control	Stack_SO2_Monthly_emissions_control	SAT_Status	BZT_Sensor_Cleaning	PH_Cleaning	OPT_Safe Area_flag	FCaO_target	CoolerFan1_FlowTarget	CoolerFan2_FlowTarget	CoolerFan3_FlowTarget	CoolerFan4_FlowTarget	CoolerFan5_FlowTarget
Max		200	10	10	100	5	100	80000	80000	80000	80000	80000	200	10	100	5	100	80000	80000	80000	80000	80000	200	10	10	10	500	3	1400	1800	2000	600	2000	20	5	5000	120	100	600	1	1	1	1	1	1	500	1	500	_	5	80000	10	10	10	10	1	1	100	_	_	_	_	_	_	_	_	_	_	500	500	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1000	1000	1000	1000	1	1	_	_	20	20	3	3	20	20	600	600	2000	2000	_	1800	1800	_	1800	1800	1400	1400	_	1400	1400	500	500	500	500	2000	2000	2000	2000	10	10	10	10	10	5	5	10	10	10	10	1	1	1	1	1	1	1	1	1	1	200	200	10	10	100	100	100	100	5	5	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	10	10	2000	2000	500	500	2000	2000	20	20	3	3	600	600	1400	1400	1800	1800	1	1	1	1	_	1	1	1	1	_	1	1	1	1	_	_	_	1	10	80000	80000	80000	80000	80000
Min		0	0	0	0	-15	0	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0	0	0	0	0	0	0	0	_	0	0	-10	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	_	_	-20	-20	0	0	0	0	0	0	0	0	_	0	0	_	0	0	0	0	_	0	0	-500	-500	0	0	0	0	-2000	-2000	0	0	0	-10	-10	0	0	-10	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	0	0	0	0	_	0	0	0	0	_	_	_	0	0	0	0	0	0	0
MaxOp		200	10	_	100	0	100	80000	80000	80000	80000	80000	200	10	100	0	100	80000	80000	80000	80000	80000	200	10	10	_	500	3	_	_	2000	600	2000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	500	_	_	_	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	5	5	3	3	_	_	600	600	2000	2000	_	1800	1800	_	1800	1800	1400	1400	_	1400	1400	20	20	500	500	2000	2000	100	100	10	10	10	10	10	_	_	0.29999999999999999	0.29999999999999999	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		0	0	_	0	-15	0	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0	0	0	0	_	0	0	_	_	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	_	_	_	-5.0000000000000009	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	-0.80000000000000004	-0.80000000000000004	0	0	_	_	0	0	0	0	_	0	0	_	0	0	0	0	_	0	0	-10	-10	0	0	0	0	-50	-50	0	0	0	-10	-10	_	_	-0.29999999999999999	-0.29999999999999999	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		3	3	_	3	0.10000000000000001	3	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	3	3	3	0.10000000000000001	3	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	3	3	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0.10000000000000001	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1.5	1.5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0.5	0.5	_	_	_	_	0.5	0.5	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.001	0.001	0.01	0.001	0.001	0.001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.001	0.001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.01	0.0001	0.01	0.01	0.0001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.001	0.001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0001	0.0001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.001	0.001	0.10000000000000001	0.001	0.001	0.001	0.001	0.10000000000000001	0.001	0.001	0.0001	0.0001	0.01	0.01	0.01	0.01	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.01	0.01	0.001	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.001	0.10000000000000001	0.01	0.01	0.10000000000000001	0.001	0.01	0.01	0.01	0.01	0.01
Unit		ton per hour	ton per hour	_	percentage	millibar	millibar	cubic metre per hour	cubic metre per hour	cubic metre per hour	cubic metre per hour	cubic metre per hour	ton per hour	ton per hour	percentage	millibar	millibar	cubic metre per hour	cubic metre per hour	cubic metre per hour	cubic metre per hour	cubic metre per hour	ton per hour	ton per hour	ton per hour	_	amp	percentage	_	_	degree Celsius	degree Celsius	degree Celsius	_	_	_	_	_	_	_	_	_	_	_	_	gigacalorie per hour	_	amp	_	_	_	percentage	_	_	_	_	_	_	_	_	_	_	percentage	percentage	_	_	ton per hour	ton per hour	gigacalorie per hour	gigacalorie per hour	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	percentage	percentage	_	_	degree Celsius	degree Celsius	degree Celsius	degree Celsius	ppm	cost per hour (KRW)	cost per hour (KRW)	cost per hour (KRW)	cost per hour (KRW)	cost per hour (KRW)	ppm	ppm	ppm	ppm	ppm	_	_	amp	amp	degree Celsius	degree Celsius	_	_	percentage	percentage	percentage	percentage	percentage	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	cubic metre per hour	cubic metre per hour	cubic metre per hour	cubic metre per hour	cubic metre per hour
SourceType		Result(1,10,0)	Result(1,10,0)	Sample	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,20,0)	Result(1,25,0)	Result(1,25,0)	Result(1,26,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,10,0)	Result(1,15,1058)	Result(1,15,1059)	Result(1,15,0)	Result(1,15,0)	Result(1,25,0)	Result(1,25,0)	Result(1,26,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,30,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Sample	Result(1,30,600)	Result(1,40,600)	Sample	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Sample	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,600)	Result(1,15,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,30,600)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,30,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Result(1,40,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,30,600)	Sample	Sample	Sample	Sample	Sample	Sample
4071417	2025-04-29 16:21:38	110	0.5	0.9525053	15	-0.059623000000000002	0	14.27032	907.54039999999998	0	399.37650000000002	14740.32	null	null	null	null	null	null	null	null	null	null	110	0.5	0.5	1.3500000000000001	0	0	0	0	293.63670000000002	17.100300000000001	503.35520000000002	20	-0.059622639999999998	2524.6120000000001	99.003879999999995	0	30.30002	0	1	0	0	0	0	7.7057669999999998	0	0	0	0	921.81071999999995	0.5	1.904193	1.4492510000000001	1.904193	0	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	null	null	0	null	null	null	null	0	null	null	null	null	null	null	null	null	null	null	1.3500000000000001	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	0	0	0	100	92	6.4000000000000004	6	95	81	45	40	-0.29999999999999999	-0.5	22000	17000	12000	6500	17000	12000	20000	15000	60000	50000	1.8	0.80000000000000004	1400	1300	300	220	1150	950	1.8999999999999999	1.3500000000000001	0.40000000000000002	0.050000000000000003	160	50	400	0	100	0	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	null	null	1	18833.330000000002	7326.3329999999996	15000.5	17229.169999999998	53833.339999999997
