VarId		1	2	3	4	7	8	9	10	11	12	13	14	15	16	620199	620299	620499	620599	620699	620799	620899	51	52	53	54	55	56	57	58	59	6316	135	141	143	151	212	213	501	502	503	10000005	20000000	20000002	20000003	620101	620151	620201	620251	620401	620451	620501	620551	620601	620651	620701	620751	620801	620851	651101	651151	651201	651251	651301	651351	651401	651451	651501	651551	651521	651601	651651	651701	651751	651801	651851	651901	651951	20100	20100	20100	20200	20200	20400	20400	20500	20500	20600	20600	20700	20700	20800	20800	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	6100	6100	6100	600000	600000	7000	7000	8000	8000	8001	8001	8002	8002	10000	10000	7116	7116	7117	7117	7126	7126	7127	7127	7128	7128	7136	7136	7137	7137	7146	7146	7147	7147	7156	7156	7157	7157	7166	7166	7167	7167	7168	7168	7176	7176	7177	7177	7186	7186	7187	7187	7196	7196	7197	7197	4055	4056	4065	4066	4075	4076	853	851	851	1007000	1008001	1008002	1010000	1600000
VarName	Date	Fresh_Feed_SP	Fresh_Feed	Separator_Speed_SP	Separator_Speed	Rejects_Splitter_1st_ch_SP	Rejects_Splitter_1st_ch	Impact_Dryer_Fan_Exit_Pressure_SP	Impact_Dryer_Fan_Exit_Pressure	Separator_Exit_Pressure_SP	Separator_Exit_Pressure	Separator_Exit_Temp_SP	Separator_Exit_Temp	Mill_Exit_Pressure_SP	Mill_Exit_Pressure	Fresh_Feed_SELECTOR	Separator_Speed_SELECTOR	Rejects_Splitter_1st_ch_SELECTOR	Impact_Dryer_Fan_Exit_Pressure_SELECTOR	Separator_Exit_Pressure_SELECTOR	Separator_Exit_Temp_SELECTOR	Mill_Exit_Pressure_SELECTOR	Electronic_Ear	Mill_Exit_Temp	Mill_Motor_A	Separator_Motor_A	Residue	Elevator_Motor_A	Mill_Separator_Fan_Motor_A	Impact_Dryer_Fan_Motor_A	Electronic_Ear_2	Elevator_Motor_A_NoFuture	Mill_Inlet_Pressure	Position_Of_Damper_After_Raw_Mill_Fan	Position_Of_Recirculation_Damper	Impact_Dryer_Fan_Speed	Limestone_Percent	Marl_Percent	OPTIBAT_ON	OPTIBAT_READY	OPTIBAT_COMMUNICATION	OPTIBAT_WATCHDOG	Support_Flag_Copy	Macrostates_Flag_Copy	Resultexistance_Flag_Copy	Read_Limit_Fresh_Feed_SP_Max	Read_Limit_Fresh_Feed_SP_Min	Read_Limit_Separator_Speed_SP_Max	Read_Limit_Separator_Speed_SP_Min	Read_Limit_Rejects_Splitter_1st_ch_SP_Max	Read_Limit_Rejects_Splitter_1st_ch_SP_Min	Read_Limit_Impact_Dryer_Fan_Exit_Pressure_SP_Max	Read_Limit_Impact_Dryer_Fan_Exit_Pressure_SP_Min	Read_Limit_Separator_Exit_Pressure_SP_Max	Read_Limit_Separator_Exit_Pressure_SP_Min	Read_Limit_Separator_Exit_Temp_SP_Max	Read_Limit_Separator_Exit_Temp_SP_Min	Read_Limit_Mill_Exit_Pressure_SP_Max	Read_Limit_Mill_Exit_Pressure_SP_Min	Read_Limit_Electronic_Ear_Max	Read_Limit_Electronic_Ear_Min	Read_Limit_Mill_Exit_Temp_Max	Read_Limit_Mill_Exit_Temp_Min	Read_Limit_Mill_Motor_A_Max	Read_Limit_Mill_Motor_A_Min	Read_Limit_Separator_Motor_A_Max	Read_Limit_Separator_Motor_A_Min	Read_Limit_Residue_Max	Read_Limit_Residue_Min	Read_Limit_Residue_Target	Read_Limit_Elevator_Motors_A_Max	Read_Limit_Elevator_Motors_A_Min	Read_Limit_Mill_Separator_Fan_Motor_A_Max	Read_Limit_Mill_Separator_Fan_Motor_A_Min	Read_Limit_Impact_Dryer_Fan_Motor_A_Max	Read_Limit_Impact_Dryer_Fan_Motor_A_Min	Read_Limit_Electronic_Ear_2_Max	Read_Limit_Electronic_Ear_2_Min	OPT_Fresh_Feed_SP	OPT_Fresh_Feed_SP	OPT_Fresh_Feed_SP	OPT_Separator_Speed_SP	OPT_Separator_Speed_SP	OPT_Rejects_Splitter_1st_ch_SP	OPT_Rejects_Splitter_1st_ch_SP	OPT_Impact_Dryer_Fan_Exit_Pressure_SP	OPT_Impact_Dryer_Fan_Exit_Pressure_SP	OPT_Separator_Exit_Pressure_SP	OPT_Separator_Exit_Pressure_SP	OPT_Separator_Exit_Temp_SP	OPT_Separator_Exit_Temp_SP	OPT_Mill_Exit_Pressure_SP	OPT_Mill_Exit_Pressure_SP	Electronic_Ear	Electronic_Ear	Mill_Exit_Temp	Mill_Exit_Temp	Mill_Motor_A	Mill_Motor_A	Separator_Motor_A	Separator_Motor_A	Residue	Residue	Elevator_Motor_A	Elevator_Motor_A	Mill_Separator_Fan_Motor_A	Mill_Separator_Fan_Motor_A	Impact_Dryer_Fan_Motor_A	Impact_Dryer_Fan_Motor_A	Electronic_Ear_2	Electronic_Ear_2	Total_Energy_Consumption	Total_Energy_Consumption	Total_Energy_Consumption	Total_OPT_Limits_Constraints	Total_OPT_Limits_Constraints	Total_Constraints	Total_Constraints	Total_KPI	Total_KPI	KPI_Throughput	KPI_Throughput	KPI_Specific_Energy	KPI_Specific_Energy	CF	CF	Electronic_Ear_W_CONS_Max	Electronic_Ear_W_CONS_Max	Electronic_Ear_W_CONS_Min	Electronic_Ear_W_CONS_Min	Mill_Exit_Temp_W_CONS_Max	Mill_Exit_Temp_W_CONS_Max	Mill_Exit_Temp_W_CONS_Min	Mill_Exit_Temp_W_CONS_Min	Mill_Exit_Temp_W_CONS_Delta	Mill_Exit_Temp_W_CONS_Delta	Mill_Motor_A_W_CONS_Max	Mill_Motor_A_W_CONS_Max	Mill_Motor_A_W_CONS_Min	Mill_Motor_A_W_CONS_Min	Separator_Motor_A_W_CONS_Max	Separator_Motor_A_W_CONS_Max	Separator_Motor_A_W_CONS_Min	Separator_Motor_A_W_CONS_Min	Residue_W_CONS_Max	Residue_W_CONS_Max	Residue_W_CONS_Min	Residue_W_CONS_Min	Elevator_Motor_A_W_CONS_Max	Elevator_Motor_A_W_CONS_Max	Elevator_Motor_A_W_CONS_Min	Elevator_Motor_A_W_CONS_Min	Elevator_Motor_A_W_CONS_Delta	Elevator_Motor_A_W_CONS_Delta	Mill_Separator_Fan_Motor_A_W_CONS_Max	Mill_Separator_Fan_Motor_A_W_CONS_Max	Mill_Separator_Fan_Motor_A_W_CONS_Min	Mill_Separator_Fan_Motor_A_W_CONS_Min	Impact_Dryer_Fan_Motor_A_W_CONS_Max	Impact_Dryer_Fan_Motor_A_W_CONS_Max	Impact_Dryer_Fan_Motor_A_W_CONS_Min	Impact_Dryer_Fan_Motor_A_W_CONS_Min	Electronic_Ear_2_W_CONS_Max	Electronic_Ear_2_W_CONS_Max	Electronic_Ear_2_W_CONS_Min	Electronic_Ear_2_W_CONS_Min	PID_Sat_Impact_Dryer_Fan_Exit_Pressure_Max_Flag	PID_Sat_Impact_Dryer_Fan_Exit_Pressure_Min_Flag	PID_Sat_Separator_Exit_Pressure_Max_Flag	PID_Sat_Separator_Exit_Pressure_Min_Flag	PID_Sat_Mill_Exit_Pressure_Max_Flag	PID_Sat_Mill_Exit_Pressure_Min_Flag	Limestone_Saturation_Flag	Safe_Area_Flag	Safe_Area_Flag	Total_Constraints_CHECK	KPI_Throughput_CHECK	KPI_Specific_Energy_CHECK	CF_CHECK	Total_OPT_Limits_Constraints_CHECK
Max		200	200	100	100	100	100	0	0	0	0	200	200	0	0	_	_	_	_	_	_	_	120	200	300	200	100	200	300	800	120	200	_	_	_	_	100	100	_	_	_	_	_	_	_	200	200	100	100	100	100	0	0	0	0	200	200	0	0	120	120	200	200	300	300	200	200	100	100	100	200	200	300	300	800	800	120	120	200	200	200	100	100	100	100	0	0	0	0	200	200	0	0	120	120	200	200	300	300	200	200	100	100	200	200	300	300	800	800	120	120	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	1	1	1	1	1	1	1	_	_	_	_	_
Min		0	0	0	0	0	0	-10	-10	-5	-5	0	0	-30	-30	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	_	_	_	_	0	0	_	_	_	_	_	_	_	0	0	0	0	0	0	-10	-10	-5	-5	0	0	-30	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10	-10	-5	-5	0	0	-30	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	_	_	_	_	_
MaxOp		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	120	200	300	200	100	200	300	800	120	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	200	200	200	100	100	100	100	0	0	0	0	200	200	-1	-1	120	120	200	200	300	300	200	200	100	100	200	200	300	300	800	800	120	120	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	-10	-10	-5	-5	0	0	-28	-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	1	1	10	10	10	10	1	1	1	1	10	10	_	_	_	_	_	_	_	_	10	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.01	0.01	0.001	0.001	0.0001	0.0001	0.01	0.01	0.01	0.01	0.0001	0.0001	0.01	0.01	0.01	0.01	0.001	0.001	0.001	0.001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001	0.10000000000000001
Unit		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Result(1,60,0)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,10,0)	Result(1,20,0)	Result(1,25,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,10,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,0)	Result(1,40,0)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,30,600)	Result(1,40,600)	Result(1,40,600)	Result(1,30,600)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Result(1,30,600)	Result(1,40,600)	Result(1,70,0)	Result(1,70,0)	Result(1,70,0)	Result(1,70,0)	Result(1,70,0)
1728998	2025-04-30 10:09:33	115	0	25	0.34187410000000001	20	21.92755	0	0	-0.64388820000000002	-0.65065930000000005	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.960339999999999	0	0.048985319999999999	14.9	0.0061810820000000001	0	0	120	0.0061809999999999999	-0.030439879999999999	0.10018390000000001	0	0	0	0	0	0	1	1	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.64388800000000002	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.030377999999999999	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
