VarId		10000002	10000003	20000000	10000000	10000000	10000000	10000	10000	8501	8501	8500	8500	300	301	799	798	90001	90001	90003	90003	90005	90005	90007	90007	90009	90009	803	107	803	803	802	802	67	67	67	94	94	94	57	57	57	900	900	66	66	66	60102	60102	63	63	63	901	901	7000200	7000200	7000201	7000201	7000210	7000210	7000211	7000211	7000220	7000220	7000221	7000221	7000230	7000230	7000231	7000231	7000240	7000240	7000241	7000241	7000260	7000260	61700	61700	61701	61701	61300	61300	61301	61301	61500	61500	61501	61501	61100	61100	61101	61101	60110	60110	60111	60111	61200	61200	61201	61201	60106	60106	6512	6512	70000	70000	26	27	28	29	30	35	37	39	42	47	7000000	7000010	7000020	7000030	7000040	7000050	7000060	7000070	7000001	7000011	7000021	7000031	7000041	7000051	7000061	7000071	8000000	8000001	8000020	8000021	8000025	8000026	8000027	8000028	8000030	8000031	8000050	8000051	8000052	8000053	8000055	8000056	8000057	8000058	8000060	8000061
VarName	Date	MacroState_flag	ResulExistance_Quality_flag	OPTIBAT_COMMUNICATION	Support	Support	Support	CF	CF	KPI_Specific_consumption	KPI_Specific_consumption	KPI_throughput	KPI_throughput	OPTIBAT_ON	Feed_MODE	Overloading_condition_status	VIbration_Overloading_feed_CONTROL_FLAG	 OPT_TotalFeed_Actual	 OPT_TotalFeed_Actual	 OPT_SepSpeed_R1SP312SPA	 OPT_SepSpeed_R1SP312SPA	 OPT_GrindingPress_R1OSP3030	 OPT_GrindingPress_R1OSP3030	 OPT_IDFan_kW_R1FN31SZSPA	 OPT_IDFan_kW_R1FN31SZSPA	 OPT_Exit_temp_R1SP_WSSPA	 OPT_Exit_temp_R1SP_WSSPA	Passing_Prediction	 RM1 Passing TARGET_RM1_FINES_TARGET	Passing_Prediction	Passing_Prediction	Passing_delta	Passing_delta	 RM1 MILL MOTOR KW_R1J0313	 RM1 MILL MOTOR KW_R1J0313	 RM1 MILL MOTOR KW_R1J0313	 CLASSIFIER kW_RM1_324_KW	 CLASSIFIER kW_RM1_324_KW	 CLASSIFIER kW_RM1_324_KW	 MILL DIFFERENTIAL PRESSURE_R1P0322	 MILL DIFFERENTIAL PRESSURE_R1P0322	 MILL DIFFERENTIAL PRESSURE_R1P0322	 Raw_mill_DP_delta	 Raw_mill_DP_delta	 MILL VIBRATION_R1V0315	 MILL VIBRATION_R1V0315	 MILL VIBRATION_R1V0315	VibrationsINC_slope_calculation	VibrationsINC_slope_calculation	 WATER SPRAY TEMPERATURE CONTROL SP_R1SP_WSSPM	 WATER SPRAY TEMPERATURE CONTROL SP_R1SP_WSSPM	 WATER SPRAY TEMPERATURE CONTROL SP_R1SP_WSSPM	WATER SPRAY INC_COPY	WATER SPRAY INC_COPY	CONS_MinOpt_Fresh_feed_Delta	CONS_MinOpt_Fresh_feed_Delta	CONS_MaxOpt_Fresh_feed_Delta	CONS_MaxOpt_Fresh_feed_Delta	CONS_MinOpt_Separator_speed_Delta	CONS_MinOpt_Separator_speed_Delta	CONS_MaxOpt_Separator_speed_Delta	CONS_MaxOpt_Separator_speed_Delta	CONS_MinOpt_Grinding_press_Delta	CONS_MinOpt_Grinding_press_Delta	CONS_MaxOpt_Grinding_press_Delta	CONS_MaxOpt_Grinding_press_Delta	CONS_MinOpt_ID_fan_kW_Delta	CONS_MinOpt_ID_fan_kW_Delta	CONS_MaxOpt_ID_fan_kW_Delta	CONS_MaxOpt_ID_fan_kW_Delta	CONS_MinOpt_Exit_Temp_Delta	CONS_MinOpt_Exit_Temp_Delta	CONS_MaxOpt_Exit_Temp_Delta	CONS_MaxOpt_Exit_Temp_Delta	CONS_Total_of_operatived_fromECS	CONS_Total_of_operatived_fromECS	W_CONS_Passing_LOW	W_CONS_Passing_LOW	W_CONS_Passing_HIGH	W_CONS_Passing_HIGH	W_CONS_Raw_mill_motor_LOW	W_CONS_Raw_mill_motor_LOW	W_CONS_Raw_mill_motor_HIGH	W_CONS_Raw_mill_motor_HIGH	W_CONS_Separator_motor_LOW	W_CONS_Separator_motor_LOW	W_CONS_Separator_motor_HIGH	W_CONS_Separator_motor_HIGH	W_CONS_Mill_DP_LOW	W_CONS_Mill_DP_LOW	W_CONS_Mill_DP_HIGH	W_CONS_Mill_DP_HIGH	W_CONS_Mill_DP_DELTA_LOW	W_CONS_Mill_DP_DELTA_LOW	W_CONS_Mill_DP_DELTA_HIGH	W_CONS_Mill_DP_DELTA_HIGH	W_CONS_Vibrations_LOW	W_CONS_Vibrations_LOW	W_CONS_Vibrations_HIGH	W_CONS_Vibrations_HIGH	Weighted_CONS_VibrationsINC_slope	Weighted_CONS_VibrationsINC_slope	W_CONS_Separator_speed_Delta	W_CONS_Separator_speed_Delta	Total_constraint	Total_constraint	 ASH_QCXR1A01CO	 HI LIME_QCXR1B01CO	 SAND_QCXR1C01CO	 IRON_QCXR1D01CO	 MIX 1_QCXR1E01CO	 RM1 MILL FEED RATE_R1IF401	 RM 1MILL INLET DRAFT_R1P0335	RM1 INLET DRAFT CTRL SP_R1I106SPSPM	 MILL INLET TEMPERETURE_R1T0323	MILL INLET DAMPER POSITION_R1ZT109	MinOpt_Fresh_feed_FromECS	MinOpt_Separator_speed_FromECS	MinOpt_Grinding_press_FromECS	MinOpt_ID_Fan_kW_FromECS	MinOpt_Exit_Temp_FromECS	MinOpt_Fresh_feed_LOW_FromECS	MinOpt_Grinding_press_LOW_FromECS	MinOpt_ID_Fan_kW_LOW_FromECS	MaxOpt_Fresh_feed_FromECS	MaxOpt_Separator_speed_FromECS	MaxOpt_Grinding_press_FromECS	MaxOpt_ID_Fan_kW_FromECS	MaxOpt_Exit_Temp_FromECS	MaxOpt_Fresh_feed_LOW_FromECS	MaxOpt_Grinding_press_LOW_FromECS	MaxOpt_ID_Fan_kW_LOW_FromECS	MinOpt_Passing_FromECS	MaxOpt_Passing_FromECS	MinOpt_Mill_Motor_FromECS	MaxOpt_Mill_Motor_FromECS	HIGH_MODE_MillMotor_threshold_Overloading_FromECS	HIGH_MODE_MillMotor_threshold_underloading_FromECS	LOW_MODE_MillMotor_threshold_Overloading_FromECS	LOW_MODE_MillMotor_threshold_underloading_FromECS	MinOpt_Separator_Motor_FromECS	MaxOpt_Separator_Motor_FromECS	MinOpt_Mill_DP_FromECS	MaxOpt_Mill_DP_FromECS	MinOpt_Mill_DP_LOW_MODE_FromECS	MaxOpt_Mill_DP_LOW_MODE_FromECS	HIGH_MODE_MillDP_threshold_overloading_FromECS	HIGH_MODE_MillDP_threshold_underloading_FromECS	LOW_MODE_MillDP_threshold_overloading_FromECS	LOW_MODE_MillDP_threshold_underloading_FromECS	MinOpt_Vibrations_FromECS	MaxOpt_Vibrations_FromECS
Max		1	1	_	1	1	1	_	_	1000	1000	300	300	100	1	1	1	300	300	100	100	3000	3000	3000	3000	300	300	100	100	100	100	100	100	3000	3000	3000	50	50	50	100	100	100	101	101	100	100	100	101	101	100	100	100	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	_	_	_	_	_	_	50	50	50	50	300	300	50	100	1000	100	300	100	3000	3000	300	300	3000	3000	300	100	3000	3000	300	300	3000	3000	100	100	3000	3000	3000	3000	3000	3000	50	50	100	100	100	100	100	100	100	100	100	100
Min		0	0	_	0	0	0	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	0	0	0	0	0	0	-1	-1	-1	-101	-101	-1	-1	-1	-101	-101	0	0	0	-100	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	_	_	_	_	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
MaxOp		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	300	300	100	100	3000	3000	3000	3000	300	300	100	100	100	100	_	_	3000	3000	3000	_	_	_	100	100	100	0.80000000000000004	0.80000000000000004	100	100	100	0.01	0.01	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	300	50	_	1000	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
MinOp		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_	_	0	0	0	_	_	_	-1	-1	-1	-0.80000000000000004	-0.80000000000000004	-1	-1	-1	-101	-101	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0	-1	_	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
OperativeIncrease		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	3	3	5	5	100	100	50	50	10	10	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0.5	0.5	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	3	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
PrecisionValue		0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.001	0.001	0.10000000000000001	0.10000000000000001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0001	0.001	0.0001	0.0001	0.0001	0.0001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0001	0.0001	0.001	0.001	0.001	0.0001	0.0001	0.001	0.001	0.001	0.001	0.001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
Unit		_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
SourceType		Result(1,20,60)	Result(1,20,0)	Result(1,10,0)	RS(1,20,0)	RS(1,30,0)	RS(1,40,0)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Sample	Sample	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,274)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Result(1,20,0)	Result(1,10,0)	Sample	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,25)	Result(1,40,25)	Sample	Result(1,30,0)	Result(1,40,0)	Result(1,30,25)	Result(1,40,25)	Sample	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Result(1,30,25)	Result(1,40,25)	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
